Method,MSE,source_size,target_size
TKRR,0.4035344536917733,50,50
CDAR,0.3246281871201365,50,50
DARC,1.0207251393203831,50,50
TKRR,0.3841560265538476,100,50
CDAR,0.3587647195743292,100,50
DARC,0.7911288763311782,100,50
TKRR,0.4042309986194738,250,50
CDAR,0.3331993833532176,250,50
DARC,1.9622797387582789,250,50
TKRR,0.4058888252805731,500,50
CDAR,0.7457539183182286,500,50
DARC,0.9390009703966992,500,50
TKRR,0.4017138616700377,750,50
CDAR,0.3488680813730345,750,50
DARC,2.8129790738442417,750,50
TKRR,0.3992840940133954,1000,50
CDAR,0.3133847141560923,1000,50
DARC,2.0236960159835435,1000,50
TKRR,0.394862794147623,1500,50
CDAR,0.327243232633112,1500,50
DARC,3.532557957170438,1500,50
TKRR,0.3504396760284022,100,100
CDAR,0.3389824642608983,100,100
DARC,1.9830183089207456,100,100
TKRR,0.3404347130863719,200,100
CDAR,0.3293035558743557,200,100
DARC,1.984182227449456,200,100
TKRR,0.3426242425551384,500,100
CDAR,0.3265648778458784,500,100
DARC,1.9550509826414049,500,100
TKRR,0.3381458575122165,1000,100
CDAR,0.5246525038419299,1000,100
DARC,3.670687564702047,1000,100
TKRR,0.3361447367340678,1500,100
CDAR,0.3052650975762494,1500,100
DARC,1.631319981825991,1500,100
TKRR,0.3390534024875876,2000,100
CDAR,0.3155492612186322,2000,100
DARC,1.717936445582697,2000,100
TKRR,0.3484411781759289,3000,100
CDAR,0.3308440301802745,3000,100
DARC,0.5213621722217845,3000,100
TKRR,0.3074556449344564,150,150
CDAR,0.3117894890709859,150,150
DARC,0.3768778527706233,150,150
TKRR,0.3048593323756458,300,150
CDAR,0.3250544326110107,300,150
DARC,0.6964522489512097,300,150
TKRR,0.3128990423913284,750,150
CDAR,0.3054854373138686,750,150
DARC,1.738302242881254,750,150
TKRR,0.30163382498327,1500,150
CDAR,0.2991288436801946,1500,150
DARC,1.4105525044130622,1500,150
TKRR,0.3092598253785852,2250,150
CDAR,0.3012465930992178,2250,150
DARC,2.3243459299963183,2250,150
TKRR,0.3151719526799771,3000,150
CDAR,0.3089354558636629,3000,150
DARC,3.5341838869607463,3000,150
TKRR,0.3077396665694307,4500,150
