Method,MSE,source_size,target_size
XGBoost_Naive_Comb,1.5309408749352822,100,50
KRR_Naive_Comb,0.6121838688575937,100,50
NN_Naive_Comb,0.8671483282010995,100,50
XGBoost_Source1,5.020042510721311,100,50
KRR_Source1,8.551896554439757,100,50
NN_Source1,6.741525712807675,100,50
XGBoost_Source2,4.579404430452575,100,50
KRR_Source2,2.028870745486756,100,50
NN_Source2,5.14958223592144,100,50
XGBoost_Naive_Comb,3.7058323183790582,200,50
KRR_Naive_Comb,1.1178554140917618,200,50
NN_Naive_Comb,1.0083660048992606,200,50
XGBoost_Source1,5.018087720708281,200,50
KRR_Source1,12.82967588031145,200,50
NN_Source1,6.540243231298984,200,50
XGBoost_Source2,4.176666371116926,200,50
KRR_Source2,5.023401471053797,200,50
NN_Source2,5.825745300062401,200,50
XGBoost_Naive_Comb,3.730155513102796,500,50
KRR_Naive_Comb,1.1731305030848709,500,50
NN_Naive_Comb,1.4082722232805591,500,50
XGBoost_Source1,4.90020378659715,500,50
KRR_Source1,8.331040850525081,500,50
NN_Source1,6.444475247408266,500,50
XGBoost_Source2,4.236039006140746,500,50
KRR_Source2,4.128098736043425,500,50
NN_Source2,2.7413280369243083,500,50
XGBoost_Naive_Comb,2.6195035656325825,1000,50
KRR_Naive_Comb,2.08103742913693,1000,50
NN_Naive_Comb,2.0693353822821616,1000,50
XGBoost_Source1,4.449349646218122,1000,50
KRR_Source1,6.871562931711452,1000,50
NN_Source1,5.586018958723811,1000,50
XGBoost_Source2,3.76080326361916,1000,50
KRR_Source2,12.37599948750197,1000,50
NN_Source2,10.234147851400458,1000,50
XGBoost_Naive_Comb,3.2696092321937127,2000,50
KRR_Naive_Comb,3.0344724502989364,2000,50
NN_Naive_Comb,2.707230588987091,2000,50
XGBoost_Source1,5.995944610500608,2000,50
KRR_Source1,7.175969076824272,2000,50
NN_Source1,5.173714968361258,2000,50
XGBoost_Source2,4.4574957586078,2000,50
KRR_Source2,12.236815037938392,2000,50
NN_Source2,8.198702458966386,2000,50
XGBoost_Naive_Comb,3.467706645964938,5000,50
KRR_Naive_Comb,4.541322239971984,5000,50
NN_Naive_Comb,3.924289403632832,5000,50
XGBoost_Source1,5.599854128750891,5000,50
KRR_Source1,5.707414710148203,5000,50
NN_Source1,5.106251743999362,5000,50
XGBoost_Source2,4.745520775706811,5000,50
KRR_Source2,15.19793646822765,5000,50
NN_Source2,8.292841916807138,5000,50
XGBoost_Naive_Comb,0.4719338136026476,100,100
KRR_Naive_Comb,0.4640115561946404,100,100
NN_Naive_Comb,0.5098789622378735,100,100
XGBoost_Source1,4.307302969436236,100,100
KRR_Source1,4.477465772038868,100,100
NN_Source1,5.005223838779131,100,100
XGBoost_Source2,4.090875242378941,100,100
KRR_Source2,0.8733216415719666,100,100
NN_Source2,4.720707483257312,100,100
XGBoost_Naive_Comb,1.319319286540894,200,100
KRR_Naive_Comb,0.7796124026595997,200,100
NN_Naive_Comb,0.7074663205299566,200,100
XGBoost_Source1,4.615925792762147,200,100
KRR_Source1,5.96131520942503,200,100
NN_Source1,5.124813525500832,200,100
XGBoost_Source2,4.201828851214947,200,100
KRR_Source2,5.14012030277815,200,100
NN_Source2,8.764491429307254,200,100
XGBoost_Naive_Comb,2.2903811502925087,500,100
KRR_Naive_Comb,0.9982020424688702,500,100
NN_Naive_Comb,0.7738355880915613,500,100
XGBoost_Source1,4.95348215240569,500,100
KRR_Source1,7.633268337171939,500,100
NN_Source1,5.088039301938584,500,100
XGBoost_Source2,3.527744217759618,500,100
KRR_Source2,6.504316154669589,500,100
NN_Source2,3.5915609314872734,500,100
XGBoost_Naive_Comb,1.9688753464871955,1000,100
KRR_Naive_Comb,1.5132397680458434,1000,100
NN_Naive_Comb,1.083045709859617,1000,100
XGBoost_Source1,4.455833200529063,1000,100
KRR_Source1,7.130229977584781,1000,100
NN_Source1,6.160936287960346,1000,100
XGBoost_Source2,3.1792274134624887,1000,100
KRR_Source2,14.572750279983785,1000,100
NN_Source2,9.745656776410684,1000,100
XGBoost_Naive_Comb,2.499853945158876,2000,100
KRR_Naive_Comb,2.27835809759732,2000,100
NN_Naive_Comb,1.7041806449296035,2000,100
XGBoost_Source1,5.12590793578328,2000,100
KRR_Source1,5.868348714390296,2000,100
NN_Source1,4.970605923132291,2000,100
XGBoost_Source2,4.888675058066834,2000,100
KRR_Source2,12.16517273136554,2000,100
NN_Source2,7.699184977727443,2000,100
XGBoost_Naive_Comb,3.432181793834305,5000,100
KRR_Naive_Comb,3.2066935984641884,5000,100
NN_Naive_Comb,2.960120513784533,5000,100
XGBoost_Source1,5.634297149574962,5000,100
KRR_Source1,5.864766197654009,5000,100
NN_Source1,5.2065056469835165,5000,100
XGBoost_Source2,4.544258773777685,5000,100
KRR_Source2,14.518444305900818,5000,100
NN_Source2,7.945414627601961,5000,100
XGBoost_Naive_Comb,0.4762546171717881,100,150
KRR_Naive_Comb,0.4645447445762414,100,150
NN_Naive_Comb,0.492032210949099,100,150
XGBoost_Source1,4.746505080755688,100,150
KRR_Source1,5.529499876981872,100,150
NN_Source1,5.533848921471268,100,150
XGBoost_Source2,4.215158146088377,100,150
KRR_Source2,6.302322365709474,100,150
NN_Source2,8.337587107774683,100,150
XGBoost_Naive_Comb,0.5619530096600325,200,150
KRR_Naive_Comb,0.5018134130007342,200,150
NN_Naive_Comb,0.5036423949277,200,150
XGBoost_Source1,4.096395910978433,200,150
KRR_Source1,6.924303939613426,200,150
NN_Source1,5.5264512208229,200,150
XGBoost_Source2,4.127448246356062,200,150
KRR_Source2,2.8887506968713312,200,150
NN_Source2,3.805260700266442,200,150
XGBoost_Naive_Comb,1.2977059406488145,500,150
KRR_Naive_Comb,0.7290640410090096,500,150
NN_Naive_Comb,0.6630389350083182,500,150
XGBoost_Source1,4.416632144696574,500,150
KRR_Source1,5.467580309482504,500,150
NN_Source1,4.785970701042867,500,150
XGBoost_Source2,3.435380991064368,500,150
KRR_Source2,6.782717495807665,500,150
NN_Source2,3.87552470897006,500,150
XGBoost_Naive_Comb,1.5062656133560854,1000,150
KRR_Naive_Comb,0.9234563989004226,1000,150
NN_Naive_Comb,0.7540826612264228,1000,150
XGBoost_Source1,4.523855688258023,1000,150
KRR_Source1,6.268219865228532,1000,150
NN_Source1,4.920044565626431,1000,150
XGBoost_Source2,3.1165199141450683,1000,150
KRR_Source2,7.708930619699733,1000,150
NN_Source2,9.980671866421172,1000,150
XGBoost_Naive_Comb,2.7397662257330624,2000,150
KRR_Naive_Comb,1.4940767411199949,2000,150
NN_Naive_Comb,1.5961709109968685,2000,150
XGBoost_Source1,5.32636478616486,2000,150
KRR_Source1,7.091577299320954,2000,150
NN_Source1,5.001026814422345,2000,150
XGBoost_Source2,4.95309357866608,2000,150
KRR_Source2,13.331578776382676,2000,150
NN_Source2,8.165302908657587,2000,150
