Method,MSE,source_size,target_size
TKRR,0.3841560265538476,100,50
CDAR,0.3708471401058589,100,50
DARC,0.9150769327938416,100,50
TKRR,0.3965255994708109,200,50
CDAR,0.347623506927598,200,50
DARC,2.3493942586322527,200,50
TKRR,0.4058888252805731,500,50
CDAR,0.3330459098900333,500,50
DARC,2.2851957293010563,500,50
TKRR,0.3992840940133954,1000,50
CDAR,0.3288744271239605,1000,50
DARC,0.8443670560953437,1000,50
TKRR,0.3925057510147542,2000,50
CDAR,0.3384685355283914,2000,50
DARC,3.0555697286890493,2000,50
TKRR,0.3504396760284022,100,100
CDAR,0.3382956455256737,100,100
DARC,0.5296628244895167,100,100
TKRR,0.3404347130863719,200,100
CDAR,0.3192328800702901,200,100
DARC,0.5747700390886442,200,100
TKRR,0.3426242425551384,500,100
CDAR,0.3386906343862776,500,100
DARC,0.4455350488122082,500,100
TKRR,0.3381458575122165,1000,100
CDAR,0.3248283234700221,1000,100
DARC,0.488457277885915,1000,100
TKRR,0.3390534024875876,2000,100
CDAR,0.9556841991430924,2000,100
DARC,0.4228718903378521,2000,100
TKRR,0.3110270539858563,100,150
CDAR,0.3018676245293231,100,150
DARC,0.5444632681737737,100,150
TKRR,0.3169029087880047,200,150
CDAR,0.3181929311174603,200,150
DARC,1.0372675901697366,200,150
TKRR,0.3048901863115054,500,150
CDAR,0.2943355240515604,500,150
DARC,0.3829646649054562,500,150
TKRR,0.3120172396757178,1000,150
CDAR,0.3055283112367523,1000,150
DARC,1.6697879678214067,1000,150
TKRR,0.3005679023370023,2000,150
CDAR,0.3262620499616237,2000,150
DARC,2.918361913427098,2000,150
TKRR,0.3260308556932359,100,200
CDAR,0.3182290446458904,100,200
DARC,0.3860234130035539,100,200
TKRR,0.3154064462811621,200,200
CDAR,0.3672503230730275,200,200
DARC,0.4633681298969545,200,200
TKRR,0.3210850967017507,500,200
CDAR,0.4751837591075907,500,200
DARC,0.6330702469000731,500,200
TKRR,0.3279448460852867,1000,200
CDAR,0.3360000515955336,1000,200
DARC,1.0636013713538297,1000,200
TKRR,0.318254796790573,2000,200
CDAR,0.3083781849303575,2000,200
DARC,1.955139035647116,2000,200
TKRR,0.3214590701097757,100,250
CDAR,0.3055584921714543,100,250
DARC,0.4479674340872346,100,250
TKRR,0.3207513018946053,200,250
CDAR,0.3086115901441791,200,250
DARC,0.7717722856214424,200,250
TKRR,0.318023664827076,500,250
CDAR,0.3309295264745516,500,250
DARC,0.4211233734005276,500,250
TKRR,0.333249587535855,1000,250
CDAR,0.3172563872133589,1000,250
DARC,1.4770723996190018,1000,250
TKRR,0.3196436667736245,2000,250
CDAR,0.311217334208254,2000,250
DARC,2.76466792042027,2000,250
TKRR,0.3398938019412473,100,50
CDAR,0.3364372744769007,100,50
DARC,0.5851726148336993,100,50
TKRR,0.342823610884566,200,50
CDAR,0.3332818114475528,200,50
DARC,2.8919707230342424,200,50
TKRR,0.3378587859556139,500,50
CDAR,0.2976982413094429,500,50
DARC,1.708919364006284,500,50
TKRR,0.3441791785536642,1000,50
CDAR,0.3253319627880665,1000,50
DARC,0.5877905879954191,1000,50
TKRR,0.3387641684631978,2000,50
CDAR,0.3409132302929473,2000,50
DARC,7.702262351554832,2000,50
TKRR,0.3366542177491887,100,100
CDAR,0.3099876664622322,100,100
DARC,0.5366245960395271,100,100
TKRR,0.3406593523689102,200,100
CDAR,0.3438062530274958,200,100
DARC,2.1348392139251127,200,100
TKRR,0.3295924357208534,500,100
CDAR,0.3084497051125064,500,100
DARC,2.269791007975692,500,100
TKRR,0.3433225101575632,1000,100
CDAR,0.3366883677260632,1000,100
DARC,3.292570354527238,1000,100
TKRR,0.3430237747715067,2000,100
CDAR,0.3460588833072622,2000,100
DARC,5.460988359298754,2000,100
TKRR,0.3058943204815391,100,150
CDAR,0.3135097005303578,100,150
DARC,0.4056819427699156,100,150
TKRR,0.3145964643427404,200,150
CDAR,0.3073175075403421,200,150
DARC,0.4026749589259069,200,150
TKRR,0.3088425905633912,500,150
CDAR,0.3129148019993745,500,150
DARC,2.0723234907633623,500,150
TKRR,0.3144752358256318,1000,150
CDAR,0.3184326369147289,1000,150
DARC,1.3265179629727228,1000,150
TKRR,0.3160996571232566,2000,150
CDAR,0.3577007777239146,2000,150
DARC,0.3805282879155067,2000,150
TKRR,0.3210720868484805,100,200
CDAR,0.3071944229203506,100,200
DARC,0.4617550308179579,100,200
TKRR,0.3264376274625565,200,200
CDAR,0.3087910232305651,200,200
DARC,0.6576515770520407,200,200
TKRR,0.3543347384254561,500,200
CDAR,0.3072176832114991,500,200
DARC,1.2805559644277371,500,200
TKRR,0.3468246805470884,1000,200
CDAR,0.3818011842547866,1000,200
DARC,0.3411302259966386,1000,200
TKRR,0.3239378855515739,2000,200
CDAR,0.3155537609109995,2000,200
DARC,2.793712297422664,2000,200
TKRR,0.3153508025751798,100,250
CDAR,0.47766660829098,100,250
DARC,0.3315891320656516,100,250
TKRR,0.3149080477085411,200,250
CDAR,0.3276613256381694,200,250
DARC,2.765038008359162,200,250
TKRR,0.3074816235341011,500,250
CDAR,0.3046675194686388,500,250
DARC,0.3878388463983599,500,250
TKRR,0.3214321824651421,1000,250
CDAR,0.3239140716280849,1000,250
DARC,2.020105532823395,1000,250
TKRR,0.3148392202837692,2000,250
CDAR,0.3136198434711243,2000,250
DARC,0.4425901988729642,2000,250
TKRR,0.3571609749858091,100,50
CDAR,0.3525127075880864,100,50
DARC,1.5893094677607429,100,50
TKRR,0.3704420824783271,200,50
CDAR,0.3569786725379343,200,50
DARC,1.8259497472362272,200,50
TKRR,0.3617570181891547,500,50
CDAR,0.3320143150482887,500,50
DARC,0.4521529378193589,500,50
TKRR,0.3644872339424039,1000,50
CDAR,0.3609045079794943,1000,50
DARC,2.3774207473319104,1000,50
TKRR,0.3599877834370785,2000,50
CDAR,0.3163554287810817,2000,50
DARC,5.445958833141906,2000,50
TKRR,0.3699256841173444,100,100
CDAR,0.3141259163567063,100,100
DARC,0.6764797749490362,100,100
TKRR,0.3797465323821924,200,100
CDAR,0.3150874088037657,200,100
DARC,0.5282872350216742,200,100
TKRR,0.3651792141702224,500,100
CDAR,0.3469284485937547,500,100
DARC,1.0956479595551665,500,100
TKRR,0.3828482970114243,1000,100
CDAR,0.3360358511535657,1000,100
DARC,0.399209142263129,1000,100
TKRR,0.3574984773364667,2000,100
CDAR,0.3359279438831649,2000,100
DARC,1.8613552822957744,2000,100
TKRR,0.3080442248175364,100,150
CDAR,0.3133507989717627,100,150
DARC,0.4426447026764929,100,150
TKRR,0.3051604500497677,200,150
CDAR,0.3361883138626959,200,150
DARC,0.5275608537805446,200,150
TKRR,0.3036605258370737,500,150
CDAR,0.3084099938663809,500,150
DARC,0.6229170880989331,500,150
TKRR,0.3025757146639366,1000,150
CDAR,0.3155092008861483,1000,150
DARC,1.1631767091569511,1000,150
TKRR,0.2938430721744557,2000,150
CDAR,0.3137341447807314,2000,150
DARC,1.1437264676872083,2000,150
TKRR,0.3168481546270346,100,200
CDAR,0.3206678594169061,100,200
DARC,1.253062080586469,100,200
TKRR,0.304669545766953,200,200
CDAR,0.3055425762414439,200,200
DARC,0.5594188430108473,200,200
TKRR,0.3111046429685194,500,200
CDAR,0.3098717732137765,500,200
DARC,0.3975069752134039,500,200
TKRR,0.3094296151564779,1000,200
CDAR,0.3036862955200206,1000,200
DARC,3.387310984829749,1000,200
TKRR,0.3060795255945389,2000,200
CDAR,0.3280140794870777,2000,200
DARC,0.4297723772925018,2000,200
TKRR,0.3368483891604397,100,250
CDAR,0.3304337457914529,100,250
DARC,0.8078996957073488,100,250
TKRR,0.3198199827248249,200,250
CDAR,0.3974075343285682,200,250
DARC,0.858155128119783,200,250
TKRR,0.3178746662777694,500,250
CDAR,0.3159650368879094,500,250
DARC,0.3479491731571705,500,250
TKRR,0.3064388802154537,1000,250
CDAR,0.3116978193279375,1000,250
DARC,3.8770744893086,1000,250
TKRR,0.314123542107418,2000,250
CDAR,0.3127297823017258,2000,250
DARC,1.4878929748407326,2000,250
TKRR,0.7387311076314452,100,50
CDAR,0.3593537087978776,100,50
DARC,0.8536149071150114,100,50
TKRR,0.603203706330529,200,50
CDAR,0.3541904558266523,200,50
DARC,3.074632109578835,200,50
TKRR,0.4999108622043735,500,50
CDAR,0.3414422039594438,500,50
DARC,0.7127646326139994,500,50
TKRR,0.4985363760923668,1000,50
CDAR,0.3489736121373977,1000,50
DARC,1.0159495630389273,1000,50
TKRR,0.4871030557869658,2000,50
CDAR,0.3290289643025416,2000,50
DARC,1.1610401324052753,2000,50
TKRR,0.342149700610701,100,100
CDAR,0.3331544437776167,100,100
DARC,0.8168222239540841,100,100
TKRR,0.339233844864755,200,100
CDAR,0.4922635416144574,200,100
DARC,0.5260629336166747,200,100
TKRR,0.3491860206877163,500,100
CDAR,0.3393721785251408,500,100
DARC,1.8386049280108896,500,100
TKRR,0.346075725313748,1000,100
CDAR,0.3307791942827403,1000,100
DARC,3.324805823379932,1000,100
TKRR,0.3352222801310831,2000,100
CDAR,0.3297824676447133,2000,100
DARC,2.141959953913042,2000,100
TKRR,0.3089777842186853,100,150
CDAR,0.3670399829975801,100,150
DARC,0.4618339608429687,100,150
TKRR,0.3810410180519593,200,150
CDAR,0.3344672003345322,200,150
DARC,0.6676707417818322,200,150
TKRR,0.3249005835094489,500,150
CDAR,0.3165226641251825,500,150
DARC,1.0458177733974168,500,150
TKRR,0.3096249111161943,1000,150
CDAR,0.3272099391846694,1000,150
DARC,2.056535083128296,1000,150
TKRR,0.3100140702936102,2000,150
CDAR,0.2980494549909755,2000,150
DARC,0.3796245033128889,2000,150
TKRR,0.3078959309408971,100,200
CDAR,0.3249659020760432,100,200
DARC,0.5043893533655099,100,200
TKRR,0.310751821313775,200,200
CDAR,0.3327244081252996,200,200
DARC,2.12783417132386,200,200
TKRR,0.3188058692066107,500,200
CDAR,0.3205376328673092,500,200
DARC,0.4676934921283453,500,200
TKRR,0.3045051470066265,1000,200
CDAR,0.3080840766618584,1000,200
DARC,1.4919060037107224,1000,200
TKRR,0.2951549551909755,2000,200
CDAR,0.3148797497262574,2000,200
DARC,0.3448567188501907,2000,200
TKRR,0.3485259837094897,100,250
CDAR,0.3233210755070518,100,250
DARC,0.4799770790868715,100,250
TKRR,0.3512046908102893,200,250
CDAR,0.3401182323716255,200,250
DARC,0.984499911387428,200,250
TKRR,0.3562138449060028,500,250
CDAR,0.3213432894798176,500,250
DARC,1.2723413202763008,500,250
TKRR,0.3578977710963122,1000,250
CDAR,0.3225191180105111,1000,250
DARC,0.6880024705439457,1000,250
TKRR,0.3520230506381195,2000,250
CDAR,0.3045273074954027,2000,250
DARC,0.2879654972432386,2000,250
TKRR,0.3970438030709231,100,50
CDAR,0.3156828635663109,100,50
DARC,0.4260466061843906,100,50
TKRR,0.4363833491584893,200,50
CDAR,0.3203278220659509,200,50
DARC,2.7702421273895395,200,50
TKRR,0.4889370195189211,500,50
CDAR,0.3251974500431456,500,50
DARC,3.765913548197392,500,50
TKRR,0.9356582608107358,1000,50
CDAR,1.3140200832603437,1000,50
DARC,1.2879503195270992,1000,50
TKRR,0.4004013760892576,2000,50
CDAR,0.3260972602646993,2000,50
DARC,3.9857161936486345,2000,50
