Method,MSE,target_size
XGBoost_Target_Only,0.1161127695247395,100
KRR_Target_Only,30.90012038445316,100
NN_Target_Only,21.48263015251146,100
XGBoost_Pool,0.1002633674290486,100
KRR_Pool,2.368304706368623,100
NN_Pool,3.5874042613634014,100
XGBoost_TLCQM,0.1255063440004018,100
KRR_TLCQM,2.6254271686010555,100
NN_TLCQM,0.1499338589194297,100
XGBoost_Target_Only,0.0963587479805767,200
KRR_Target_Only,19.83015378673823,200
NN_Target_Only,19.9047325452946,200
XGBoost_Pool,0.0980281252239426,200
KRR_Pool,2.2063850358629,200
NN_Pool,3.0166530679734067,200
XGBoost_TLCQM,0.1148764328760282,200
KRR_TLCQM,2.4773460454873706,200
NN_TLCQM,0.11467006470743,200
XGBoost_Target_Only,0.0958024899459474,300
KRR_Target_Only,13.846665770653225,300
NN_Target_Only,6.279279511653036,300
XGBoost_Pool,0.0955038831151454,300
KRR_Pool,1.9835033795889565,300
NN_Pool,3.6018338883970724,300
XGBoost_TLCQM,0.105343714398104,300
KRR_TLCQM,2.2309485292041007,300
NN_TLCQM,0.1160787703918944,300
XGBoost_Target_Only,0.0928430987552638,500
KRR_Target_Only,9.200649761211452,500
NN_Target_Only,0.155449320418033,500
XGBoost_Pool,0.0968612503454234,500
KRR_Pool,1.8991722544444936,500
NN_Pool,3.145973880679702,500
XGBoost_TLCQM,0.1013222103555156,500
KRR_TLCQM,2.1166886492282444,500
NN_TLCQM,0.1051110165545041,500
TKRR,2.9130855032977347,100
CDAR,5.703819533398187,100
DARC,31.69289928365028,100
TKRR,2.761619561396205,200
CDAR,5.8705466413280485,200
DARC,22.561672216318257,200
TKRR,2.5319492563138866,300
CDAR,6.060434966328729,300
DARC,31.86189978212857,300
TKRR,2.4988255827754435,500
CDAR,5.638888058414452,500
DARC,30.57001156000389,500
XGBoost_Target_Only,0.1217859626185718,100
KRR_Target_Only,29.88138337619736,100
NN_Target_Only,22.543612587332785,100
XGBoost_Pool,0.1021170076603646,100
KRR_Pool,2.144152033368171,100
NN_Pool,2.758430667654711,100
XGBoost_TLCQM,0.1128957189775003,100
KRR_TLCQM,2.3973486056239306,100
NN_TLCQM,0.1116456097339428,100
XGBoost_Target_Only,0.1084416595134147,200
KRR_Target_Only,19.943593554099955,200
NN_Target_Only,20.56759318093216,200
XGBoost_Pool,0.0966847269825239,200
KRR_Pool,2.0996820254671063,200
NN_Pool,2.9097783862822686,200
