Method,Metric,Value,source_target_ratio,source_size,target_size
Engression_Only,XGBoost,0.5956041905504112,1,50,50
Engression_Only,KRR,0.5578338669689026,1,50,50
Engression_Only,NN,0.5687044457119731,1,50,50
Engression_Only,W1_to_target,1.9076610072895293,1,50,50
Mean_Matching,XGBoost,0.3058422901061583,1,50,50
Mean_Matching,KRR,0.3277951132027946,1,50,50
Mean_Matching,NN,0.333101956449988,1,50,50
Mean_Matching,W1_to_target,0.3224075187047242,1,50,50
OT_Calibration,XGBoost,0.3814730335199742,1,50,50
OT_Calibration,KRR,0.3591932343931607,1,50,50
OT_Calibration,NN,0.343061943039474,1,50,50
OT_Calibration,W1_to_target,0.6701551957456823,1,50,50
TLCQM,XGBoost,0.3626118060206835,1,50,50
TLCQM,KRR,0.4034788536155756,1,50,50
TLCQM,NN,0.471627460703253,1,50,50
TLCQM,W1_to_target,0.030204766857244,1,50,50
TLCQM,AvgPinball,0.1979876951223515,1,50,50
TLCQM,CRPS,0.3682900924730989,1,50,50
Engression_Only,XGBoost,2.7371638307416832,2,100,50
Engression_Only,KRR,0.8130738406007231,2,100,50
Engression_Only,NN,1.1052940435330894,2,100,50
Engression_Only,W1_to_target,2.1161454656772656,2,100,50
Mean_Matching,XGBoost,0.3077530653911741,2,100,50
Mean_Matching,KRR,0.3261593367276794,2,100,50
Mean_Matching,NN,0.3275840193063423,2,100,50
Mean_Matching,W1_to_target,0.3595036531720004,2,100,50
OT_Calibration,XGBoost,0.3798312610225389,2,100,50
OT_Calibration,KRR,0.3871885451610113,2,100,50
OT_Calibration,NN,0.3896124401898405,2,100,50
OT_Calibration,W1_to_target,0.2182771072813892,2,100,50
TLCQM,XGBoost,0.344731283252351,2,100,50
TLCQM,KRR,0.3466633887909305,2,100,50
TLCQM,NN,0.3508272188366522,2,100,50
TLCQM,W1_to_target,0.036244149002922,2,100,50
TLCQM,AvgPinball,0.1590812870231167,2,100,50
TLCQM,CRPS,0.2914555415312451,2,100,50
Engression_Only,XGBoost,3.380005620386375,5,250,50
Engression_Only,KRR,1.600894078176835,5,250,50
Engression_Only,NN,3.453042545634203,5,250,50
Engression_Only,W1_to_target,1.9669682835163185,5,250,50
Mean_Matching,XGBoost,0.3001787756912909,5,250,50
Mean_Matching,KRR,0.3304915282710083,5,250,50
Mean_Matching,NN,0.3023060932249976,5,250,50
Mean_Matching,W1_to_target,0.2153563512383477,5,250,50
OT_Calibration,XGBoost,0.4169719467847655,5,250,50
OT_Calibration,KRR,0.4353096150786308,5,250,50
OT_Calibration,NN,0.4273456764678923,5,250,50
OT_Calibration,W1_to_target,0.3459650329442681,5,250,50
TLCQM,XGBoost,0.3018651805464991,5,250,50
TLCQM,KRR,0.3337000977246918,5,250,50
TLCQM,NN,0.3071381535123271,5,250,50
TLCQM,W1_to_target,0.0362548471683278,5,250,50
TLCQM,AvgPinball,0.1491233429385552,5,250,50
TLCQM,CRPS,0.272435057810064,5,250,50
Engression_Only,XGBoost,2.8756989168932967,10,500,50
Engression_Only,KRR,1.4643190174111145,10,500,50
Engression_Only,NN,1.9628267538486557,10,500,50
Engression_Only,W1_to_target,1.990984606782346,10,500,50
Mean_Matching,XGBoost,0.3083880467841506,10,500,50
Mean_Matching,KRR,0.3331383981196112,10,500,50
Mean_Matching,NN,0.3026508089645343,10,500,50
Mean_Matching,W1_to_target,0.2741585646713339,10,500,50
OT_Calibration,XGBoost,0.4175173412099019,10,500,50
OT_Calibration,KRR,0.5052312075572871,10,500,50
OT_Calibration,NN,0.4415424445729946,10,500,50
OT_Calibration,W1_to_target,0.2696533170588366,10,500,50
TLCQM,XGBoost,0.3102668536806873,10,500,50
TLCQM,KRR,0.3371426892484038,10,500,50
TLCQM,NN,0.3076462388670242,10,500,50
TLCQM,W1_to_target,0.0328580102304508,10,500,50
TLCQM,AvgPinball,0.1490971885327049,10,500,50
TLCQM,CRPS,0.2722665746228603,10,500,50
Engression_Only,XGBoost,3.3412299599252595,15,750,50
Engression_Only,KRR,2.1789608787083203,15,750,50
Engression_Only,NN,3.213535468360869,15,750,50
Engression_Only,W1_to_target,2.017148150941817,15,750,50
Mean_Matching,XGBoost,0.3041704805669917,15,750,50
Mean_Matching,KRR,0.3268277883023437,15,750,50
Mean_Matching,NN,0.3081086508504747,15,750,50
Mean_Matching,W1_to_target,0.2797680298605609,15,750,50
OT_Calibration,XGBoost,0.5251752950395913,15,750,50
OT_Calibration,KRR,0.547598052479684,15,750,50
OT_Calibration,NN,0.536213225991767,15,750,50
OT_Calibration,W1_to_target,0.2396984805271549,15,750,50
TLCQM,XGBoost,0.3442421936066275,15,750,50
TLCQM,KRR,0.3515025997957337,15,750,50
TLCQM,NN,0.3509518234396108,15,750,50
TLCQM,W1_to_target,0.0283357696204215,15,750,50
TLCQM,AvgPinball,0.1568486172713217,15,750,50
TLCQM,CRPS,0.2863384338543381,15,750,50
Engression_Only,XGBoost,3.609650586948297,20,1000,50
Engression_Only,KRR,2.068181612525984,20,1000,50
Engression_Only,NN,3.0691458423597497,20,1000,50
Engression_Only,W1_to_target,1.9841527389210225,20,1000,50
