Method,Metric,Value,source_target_ratio,source_size,target_size
Mean_Matching,XGBoost,0.303489587017163,20,1000,50
Mean_Matching,KRR,0.3276114942174645,20,1000,50
Mean_Matching,NN,0.3075427824572979,20,1000,50
Mean_Matching,W1_to_target,0.3513856778886877,20,1000,50
OT_Calibration,XGBoost,0.523145384841734,20,1000,50
OT_Calibration,KRR,0.5560617499009405,20,1000,50
OT_Calibration,NN,0.5207337483807923,20,1000,50
OT_Calibration,W1_to_target,0.0560038508965856,20,1000,50
TLCQM,XGBoost,0.3461105101814923,20,1000,50
TLCQM,KRR,0.3582611347362193,20,1000,50
TLCQM,NN,0.354722184827324,20,1000,50
TLCQM,W1_to_target,0.0271818474959346,20,1000,50
TLCQM,AvgPinball,0.154210537231571,20,1000,50
TLCQM,CRPS,0.2817936590156953,20,1000,50
Engression_Only,XGBoost,3.70049661515405,30,1500,50
Engression_Only,KRR,2.836612795206409,30,1500,50
Engression_Only,NN,3.757015571735393,30,1500,50
Engression_Only,W1_to_target,2.025952150644132,30,1500,50
Mean_Matching,XGBoost,0.3068515444211881,30,1500,50
Mean_Matching,KRR,0.3035259279870557,30,1500,50
Mean_Matching,NN,0.3172272476792657,30,1500,50
Mean_Matching,W1_to_target,0.323712663863786,30,1500,50
OT_Calibration,XGBoost,0.5838100178594843,30,1500,50
OT_Calibration,KRR,0.6097119932675802,30,1500,50
OT_Calibration,NN,0.6204096727515244,30,1500,50
OT_Calibration,W1_to_target,0.1978628713063565,30,1500,50
TLCQM,XGBoost,0.3685656200342518,30,1500,50
TLCQM,KRR,0.3659272011956693,30,1500,50
TLCQM,NN,0.3810989660904605,30,1500,50
TLCQM,W1_to_target,0.0309163327859238,30,1500,50
TLCQM,AvgPinball,0.1616113188980926,30,1500,50
TLCQM,CRPS,0.2956465064863513,30,1500,50
Engression_Only,XGBoost,0.5213295656951829,1,100,100
Engression_Only,KRR,0.4991700889760585,1,100,100
Engression_Only,NN,0.5567810158043539,1,100,100
Engression_Only,W1_to_target,1.8664016732248672,1,100,100
Mean_Matching,XGBoost,0.3121116049249365,1,100,100
Mean_Matching,KRR,0.3329682270162479,1,100,100
Mean_Matching,NN,0.3151072052009968,1,100,100
Mean_Matching,W1_to_target,0.2557143629888742,1,100,100
OT_Calibration,XGBoost,0.381983469509316,1,100,100
OT_Calibration,KRR,0.3897858285008843,1,100,100
OT_Calibration,NN,0.4037528584921959,1,100,100
OT_Calibration,W1_to_target,0.6291874015197491,1,100,100
TLCQM,XGBoost,0.3126583110311072,1,100,100
TLCQM,KRR,0.3374081096470142,1,100,100
TLCQM,NN,0.3208817215563773,1,100,100
TLCQM,W1_to_target,0.0526606002108886,1,100,100
TLCQM,AvgPinball,0.1707174104217232,1,100,100
TLCQM,CRPS,0.3135966600441618,1,100,100
Engression_Only,XGBoost,2.8608718987094037,2,200,100
Engression_Only,KRR,1.0492751008033414,2,200,100
Engression_Only,NN,1.2854090675924716,2,200,100
Engression_Only,W1_to_target,1.9548025073798905,2,200,100
Mean_Matching,XGBoost,0.3106010589971074,2,200,100
Mean_Matching,KRR,0.3135607712635165,2,200,100
Mean_Matching,NN,0.3104407767550243,2,200,100
Mean_Matching,W1_to_target,0.2782772251260977,2,200,100
OT_Calibration,XGBoost,0.3985851533960353,2,200,100
OT_Calibration,KRR,0.4339845267711239,2,200,100
OT_Calibration,NN,0.4852608177298809,2,200,100
OT_Calibration,W1_to_target,0.6021432281918263,2,200,100
TLCQM,XGBoost,0.3126835177739815,2,200,100
TLCQM,KRR,0.3154449845246274,2,200,100
TLCQM,NN,0.3146877544961763,2,200,100
TLCQM,W1_to_target,0.0459526585076886,2,200,100
TLCQM,AvgPinball,0.170629604769768,2,200,100
TLCQM,CRPS,0.3127267951354723,2,200,100
Engression_Only,XGBoost,2.893172813960512,5,500,100
Engression_Only,KRR,1.2120826530290645,5,500,100
Engression_Only,NN,2.212487803732944,5,500,100
Engression_Only,W1_to_target,1.909045563731649,5,500,100
Mean_Matching,XGBoost,0.3122723357758271,5,500,100
Mean_Matching,KRR,0.3197117556870393,5,500,100
Mean_Matching,NN,0.3138688227878967,5,500,100
Mean_Matching,W1_to_target,0.3522066442787714,5,500,100
OT_Calibration,XGBoost,0.359036686529343,5,500,100
OT_Calibration,KRR,0.4083587377397715,5,500,100
OT_Calibration,NN,0.4020185827217346,5,500,100
OT_Calibration,W1_to_target,0.7974499155846357,5,500,100
TLCQM,XGBoost,0.3093852033033765,5,500,100
TLCQM,KRR,0.3213292054672182,5,500,100
TLCQM,NN,0.3165317364452423,5,500,100
TLCQM,W1_to_target,0.0474464704492196,5,500,100
TLCQM,AvgPinball,0.1707013861369544,5,500,100
TLCQM,CRPS,0.3129236911808331,5,500,100
Engression_Only,XGBoost,2.9478106863125904,10,1000,100
Engression_Only,KRR,1.555714726502276,10,1000,100
Engression_Only,NN,1.964932732774089,10,1000,100
Engression_Only,W1_to_target,1.9509778956676511,10,1000,100
Mean_Matching,XGBoost,0.312368063755398,10,1000,100
Mean_Matching,KRR,0.3214305627030664,10,1000,100
Mean_Matching,NN,0.3153584090860036,10,1000,100
Mean_Matching,W1_to_target,0.3306077363869398,10,1000,100
OT_Calibration,XGBoost,0.4577573266665111,10,1000,100
OT_Calibration,KRR,0.5113614771188765,10,1000,100
OT_Calibration,NN,0.5761180347774553,10,1000,100
OT_Calibration,W1_to_target,0.3853489590680959,10,1000,100
TLCQM,XGBoost,0.3208489404405802,10,1000,100
TLCQM,KRR,0.3231579100703066,10,1000,100
TLCQM,NN,0.31704814184447,10,1000,100
TLCQM,W1_to_target,0.048073477036763,10,1000,100
TLCQM,AvgPinball,0.172665488482731,10,1000,100
TLCQM,CRPS,0.317017204471939,10,1000,100
Engression_Only,XGBoost,3.6453117032503006,15,1500,100
Engression_Only,KRR,2.561553524855161,15,1500,100
Engression_Only,NN,3.91099768308068,15,1500,100
Engression_Only,W1_to_target,1.9533084263498053,15,1500,100
Mean_Matching,XGBoost,0.3046293574048563,15,1500,100
Mean_Matching,KRR,0.3020910752622159,15,1500,100
Mean_Matching,NN,0.2955145785471006,15,1500,100
Mean_Matching,W1_to_target,0.2979095903386696,15,1500,100
OT_Calibration,XGBoost,0.5868993953679142,15,1500,100
OT_Calibration,KRR,0.6223997270972734,15,1500,100
OT_Calibration,NN,0.704957766703313,15,1500,100
OT_Calibration,W1_to_target,0.3692091880928352,15,1500,100
TLCQM,XGBoost,0.3216328602352064,15,1500,100
TLCQM,KRR,0.3151946570051666,15,1500,100
TLCQM,NN,0.3141777864642806,15,1500,100
TLCQM,W1_to_target,0.0466241848529922,15,1500,100
TLCQM,AvgPinball,0.1785940618745092,15,1500,100
TLCQM,CRPS,0.3281249588575704,15,1500,100
Engression_Only,XGBoost,3.3342299056337463,20,2000,100
Engression_Only,KRR,2.7837026297500453,20,2000,100
Engression_Only,NN,3.897746612664517,20,2000,100
Engression_Only,W1_to_target,1.9927351503336928,20,2000,100
Mean_Matching,XGBoost,0.3139325133011706,20,2000,100
Mean_Matching,KRR,0.3121436122370107,20,2000,100
Mean_Matching,NN,0.3067480505822915,20,2000,100
Mean_Matching,W1_to_target,0.3237221552866424,20,2000,100
OT_Calibration,XGBoost,0.5894263281861537,20,2000,100
OT_Calibration,KRR,0.6275570929709005,20,2000,100
OT_Calibration,NN,0.6835405974565159,20,2000,100
OT_Calibration,W1_to_target,0.165249549137764,20,2000,100
TLCQM,XGBoost,0.3150902571034348,20,2000,100
TLCQM,KRR,0.3186770636944483,20,2000,100
TLCQM,NN,0.31131815343301,20,2000,100
TLCQM,W1_to_target,0.046391340255186,20,2000,100
TLCQM,AvgPinball,0.1718676862671511,20,2000,100
TLCQM,CRPS,0.3156142919067446,20,2000,100
Engression_Only,XGBoost,3.65770934475749,30,3000,100
Engression_Only,KRR,3.0922291735785365,30,3000,100
Engression_Only,NN,3.956022925278893,30,3000,100
Engression_Only,W1_to_target,1.9304605030216435,30,3000,100
Mean_Matching,XGBoost,0.3052924660693535,30,3000,100
Mean_Matching,KRR,0.3129038719059049,30,3000,100
Mean_Matching,NN,0.3046742226664273,30,3000,100
Mean_Matching,W1_to_target,0.3507966497264145,30,3000,100
OT_Calibration,XGBoost,0.5831084602189996,30,3000,100
OT_Calibration,KRR,0.6979022916737703,30,3000,100
OT_Calibration,NN,0.6929404022193318,30,3000,100
OT_Calibration,W1_to_target,0.1937493371928811,30,3000,100
TLCQM,XGBoost,0.3098845212616281,30,3000,100
TLCQM,KRR,0.3217415472415272,30,3000,100
TLCQM,NN,0.3069347599775715,30,3000,100
TLCQM,W1_to_target,0.0463399115415269,30,3000,100
TLCQM,AvgPinball,0.1681187464721868,30,3000,100
TLCQM,CRPS,0.3085243605765867,30,3000,100
Engression_Only,XGBoost,1.154849599083824,1,150,150
Engression_Only,KRR,1.022155277840211,1,150,150
Engression_Only,NN,1.1414336547312474,1,150,150
Engression_Only,W1_to_target,2.0541322434689238,1,150,150
Mean_Matching,XGBoost,0.28926394468495,1,150,150
Mean_Matching,KRR,0.2914854783372997,1,150,150
Mean_Matching,NN,0.2837165358140104,1,150,150
Mean_Matching,W1_to_target,0.3136771682633655,1,150,150
OT_Calibration,XGBoost,0.3672845291056338,1,150,150
OT_Calibration,KRR,0.3344576028760318,1,150,150
OT_Calibration,NN,0.3658768686352264,1,150,150
OT_Calibration,W1_to_target,0.8980347459983129,1,150,150
TLCQM,XGBoost,0.2908674770134474,1,150,150
TLCQM,KRR,0.2925448013196809,1,150,150
TLCQM,NN,0.2904724937001163,1,150,150
TLCQM,W1_to_target,0.0350786748848995,1,150,150
TLCQM,AvgPinball,0.1594256666639838,1,150,150
TLCQM,CRPS,0.2916306483704948,1,150,150
Engression_Only,XGBoost,2.2101606989799736,2,300,150
Engression_Only,KRR,0.986411655717945,2,300,150
Engression_Only,NN,1.3522141615331646,2,300,150
Engression_Only,W1_to_target,1.9921260609721485,2,300,150
Mean_Matching,XGBoost,0.3004667108497014,2,300,150
Mean_Matching,KRR,0.2993632350422713,2,300,150
Mean_Matching,NN,0.2913493847219555,2,300,150
Mean_Matching,W1_to_target,0.3532905030052127,2,300,150
OT_Calibration,XGBoost,0.3516880482815926,2,300,150
OT_Calibration,KRR,0.4132688149966235,2,300,150
OT_Calibration,NN,0.4426708303944732,2,300,150
OT_Calibration,W1_to_target,0.2043883679320194,2,300,150
TLCQM,XGBoost,0.304908403993709,2,300,150
TLCQM,KRR,0.3017479772418081,2,300,150
TLCQM,NN,0.2978439902430826,2,300,150
TLCQM,W1_to_target,0.0337202444582894,2,300,150
TLCQM,AvgPinball,0.1635067216949643,2,300,150
TLCQM,CRPS,0.2993527802128881,2,300,150
Engression_Only,XGBoost,3.025854902670127,5,750,150
Engression_Only,KRR,1.3099760436939627,5,750,150
Engression_Only,NN,2.205237862638996,5,750,150
Engression_Only,W1_to_target,1.9872814709480524,5,750,150
Mean_Matching,XGBoost,0.2837875972481366,5,750,150
Mean_Matching,KRR,0.288498135234925,5,750,150
Mean_Matching,NN,0.2776797596084027,5,750,150
Mean_Matching,W1_to_target,0.3070649863248615,5,750,150
OT_Calibration,XGBoost,0.427080969984752,5,750,150
OT_Calibration,KRR,0.4015130255232337,5,750,150
OT_Calibration,NN,0.4617209325309713,5,750,150
OT_Calibration,W1_to_target,0.0945873842911122,5,750,150
TLCQM,XGBoost,0.2866588491959125,5,750,150
TLCQM,KRR,0.2930366911175692,5,750,150
TLCQM,NN,0.2826132219707508,5,750,150
TLCQM,W1_to_target,0.0334852552796279,5,750,150
TLCQM,AvgPinball,0.156320064840098,5,750,150
TLCQM,CRPS,0.2856323774727139,5,750,150
Engression_Only,XGBoost,3.2727447685296585,10,1500,150
Engression_Only,KRR,1.8367533568534236,10,1500,150
Engression_Only,NN,3.2148807811681746,10,1500,150
Engression_Only,W1_to_target,1.990852675942009,10,1500,150
Mean_Matching,XGBoost,0.305543253341011,10,1500,150
Mean_Matching,KRR,0.307799498905944,10,1500,150
Mean_Matching,NN,0.3048495915428635,10,1500,150
Mean_Matching,W1_to_target,0.2889946781691437,10,1500,150
OT_Calibration,XGBoost,0.5091662677229112,10,1500,150
OT_Calibration,KRR,0.487931300051921,10,1500,150
OT_Calibration,NN,0.5683624389438402,10,1500,150
OT_Calibration,W1_to_target,0.1216101107485945,10,1500,150
TLCQM,XGBoost,0.3078720760708363,10,1500,150
TLCQM,KRR,0.3087709219368716,10,1500,150
TLCQM,NN,0.3055735280477809,10,1500,150
TLCQM,W1_to_target,0.0334707680589484,10,1500,150
TLCQM,AvgPinball,0.1561747746468175,10,1500,150
TLCQM,CRPS,0.2852288033437611,10,1500,150
Engression_Only,XGBoost,3.7411877953397856,15,2250,150
Engression_Only,KRR,2.626250949011211,15,2250,150
Engression_Only,NN,3.584747148658561,15,2250,150
Engression_Only,W1_to_target,1.977347925341691,15,2250,150
Mean_Matching,XGBoost,0.2864673604278834,15,2250,150
Mean_Matching,KRR,0.2884114456227639,15,2250,150
Mean_Matching,NN,0.2855935010848951,15,2250,150
Mean_Matching,W1_to_target,0.314116098243661,15,2250,150
OT_Calibration,XGBoost,0.5804582016372138,15,2250,150
OT_Calibration,KRR,0.5562213058296581,15,2250,150
OT_Calibration,NN,0.627902909590631,15,2250,150
OT_Calibration,W1_to_target,0.3344308000891057,15,2250,150
TLCQM,XGBoost,0.2958051422150854,15,2250,150
TLCQM,KRR,0.3000631666257548,15,2250,150
TLCQM,NN,0.2996631704078892,15,2250,150
TLCQM,W1_to_target,0.0345207962594204,15,2250,150
TLCQM,AvgPinball,0.1600273829933967,15,2250,150
TLCQM,CRPS,0.2926461491643403,15,2250,150
Engression_Only,XGBoost,3.4903552754344758,20,3000,150
Engression_Only,KRR,2.547285742545386,20,3000,150
Engression_Only,NN,3.16301227325042,20,3000,150
Engression_Only,W1_to_target,1.9936703449397604,20,3000,150
Mean_Matching,XGBoost,0.3035420179990379,20,3000,150
Mean_Matching,KRR,0.3010146275777611,20,3000,150
Mean_Matching,NN,0.2986035994136681,20,3000,150
Mean_Matching,W1_to_target,0.2068478295870947,20,3000,150
OT_Calibration,XGBoost,0.5810466448320355,20,3000,150
OT_Calibration,KRR,0.6404482945483366,20,3000,150
OT_Calibration,NN,0.6644120222912797,20,3000,150
OT_Calibration,W1_to_target,0.1391908850855361,20,3000,150
TLCQM,XGBoost,0.3031923520825063,20,3000,150
TLCQM,KRR,0.3077244179423714,20,3000,150
TLCQM,NN,0.3018118051014435,20,3000,150
TLCQM,W1_to_target,0.0337874597057678,20,3000,150
TLCQM,AvgPinball,0.1571287221379843,20,3000,150
TLCQM,CRPS,0.2871713500306963,20,3000,150
Engression_Only,XGBoost,3.471492079982474,30,4500,150
Engression_Only,KRR,2.75577603683801,30,4500,150
Engression_Only,NN,3.561604260659172,30,4500,150
Engression_Only,W1_to_target,2.0097077564767565,30,4500,150
Mean_Matching,XGBoost,0.2926707103871331,30,4500,150
Mean_Matching,KRR,0.2923115381018655,30,4500,150
Mean_Matching,NN,0.2913653314085885,30,4500,150
Mean_Matching,W1_to_target,0.183426807947512,30,4500,150
OT_Calibration,XGBoost,0.5939865787351859,30,4500,150
OT_Calibration,KRR,0.6230098393618896,30,4500,150
OT_Calibration,NN,0.6918537552786077,30,4500,150
OT_Calibration,W1_to_target,0.3900382308437358,30,4500,150
TLCQM,XGBoost,0.2972330689458927,30,4500,150
TLCQM,KRR,0.2983889598610462,30,4500,150
TLCQM,NN,0.3003094934706619,30,4500,150
TLCQM,W1_to_target,0.0347391009056276,30,4500,150
TLCQM,AvgPinball,0.1598079084369323,30,4500,150
TLCQM,CRPS,0.2922661222520668,30,4500,150
Engression_Only,XGBoost,0.6231237464229508,1,50,50
Engression_Only,KRR,0.5352347521373824,1,50,50
Engression_Only,NN,0.7470879433077362,1,50,50
Engression_Only,W1_to_target,1.978936272351537,1,50,50
Mean_Matching,XGBoost,0.3183201712293594,1,50,50
Mean_Matching,KRR,0.3182308306821141,1,50,50
Mean_Matching,NN,0.320141122080311,1,50,50
Mean_Matching,W1_to_target,0.3843990393489382,1,50,50
OT_Calibration,XGBoost,0.318662368451263,1,50,50
OT_Calibration,KRR,0.317776075142057,1,50,50
OT_Calibration,NN,0.3354725344260098,1,50,50
OT_Calibration,W1_to_target,0.7348398131822956,1,50,50
TLCQM,XGBoost,0.363400372778817,1,50,50
TLCQM,KRR,0.3430921174173268,1,50,50
TLCQM,NN,0.3599783553932337,1,50,50
TLCQM,W1_to_target,0.081180038475715,1,50,50
TLCQM,AvgPinball,0.205302924873685,1,50,50
TLCQM,CRPS,0.3802935019168461,1,50,50
Engression_Only,XGBoost,2.078368233495256,2,100,50
Engression_Only,KRR,0.7377627738593421,2,100,50
Engression_Only,NN,0.836949879580072,2,100,50
Engression_Only,W1_to_target,2.053597700111487,2,100,50
Mean_Matching,XGBoost,0.3173583049295879,2,100,50
Mean_Matching,KRR,0.3140403135255483,2,100,50
Mean_Matching,NN,0.3170780286469479,2,100,50
Mean_Matching,W1_to_target,0.3871236246736215,2,100,50
OT_Calibration,XGBoost,0.3261804093882285,2,100,50
OT_Calibration,KRR,0.3628716732976362,2,100,50
OT_Calibration,NN,0.364287006163067,2,100,50
OT_Calibration,W1_to_target,0.3316118223102931,2,100,50
TLCQM,XGBoost,0.3311918806144098,2,100,50
TLCQM,KRR,0.3383502082997742,2,100,50
TLCQM,NN,0.3606596562196079,2,100,50
TLCQM,W1_to_target,0.0764324131120787,2,100,50
TLCQM,AvgPinball,0.1933726917117134,2,100,50
TLCQM,CRPS,0.3558465647309798,2,100,50
Engression_Only,XGBoost,3.2919787261837947,5,250,50
Engression_Only,KRR,1.0959565271129057,5,250,50
Engression_Only,NN,2.9003726919894945,5,250,50
Engression_Only,W1_to_target,2.176878615772227,5,250,50
Mean_Matching,XGBoost,0.3131151107571323,5,250,50
Mean_Matching,KRR,0.3135729799584205,5,250,50
Mean_Matching,NN,0.305312810573768,5,250,50
Mean_Matching,W1_to_target,0.3630274303739133,5,250,50
OT_Calibration,XGBoost,0.3481545341735116,5,250,50
OT_Calibration,KRR,0.38516029528396,5,250,50
OT_Calibration,NN,0.4131584752966225,5,250,50
OT_Calibration,W1_to_target,0.3512064010529036,5,250,50
TLCQM,XGBoost,0.3054606027968282,5,250,50
TLCQM,KRR,0.3115217614997139,5,250,50
TLCQM,NN,0.3022571389026148,5,250,50
TLCQM,W1_to_target,0.076117122253279,5,250,50
TLCQM,AvgPinball,0.164677394135822,5,250,50
TLCQM,CRPS,0.3008083584414311,5,250,50
Engression_Only,XGBoost,2.565992300187428,10,500,50
Engression_Only,KRR,1.0972914824965525,10,500,50
Engression_Only,NN,2.9338394110714883,10,500,50
Engression_Only,W1_to_target,2.085604244208092,10,500,50
Mean_Matching,XGBoost,0.3138253458504431,10,500,50
Mean_Matching,KRR,0.312326294332358,10,500,50
Mean_Matching,NN,0.3091110107002255,10,500,50
Mean_Matching,W1_to_target,0.3497969279499878,10,500,50
OT_Calibration,XGBoost,0.4579624549355757,10,500,50
OT_Calibration,KRR,0.4251839140618572,10,500,50
OT_Calibration,NN,0.4696471844198844,10,500,50
OT_Calibration,W1_to_target,0.6678455474569691,10,500,50
TLCQM,XGBoost,0.3133712494022404,10,500,50
TLCQM,KRR,0.3125233825501184,10,500,50
TLCQM,NN,0.3030248588457908,10,500,50
TLCQM,W1_to_target,0.07695888916102,10,500,50
TLCQM,AvgPinball,0.1666372675352967,10,500,50
TLCQM,CRPS,0.3050322377700642,10,500,50
Engression_Only,XGBoost,3.5610277510957045,15,750,50
Engression_Only,KRR,2.075661388183737,15,750,50
Engression_Only,NN,3.1680609689307317,15,750,50
Engression_Only,W1_to_target,2.081859092245692,15,750,50
Mean_Matching,XGBoost,0.3216974955693637,15,750,50
Mean_Matching,KRR,0.3207747614627159,15,750,50
Mean_Matching,NN,0.3148268399014997,15,750,50
Mean_Matching,W1_to_target,0.327789580197909,15,750,50
OT_Calibration,XGBoost,0.5692262994138374,15,750,50
OT_Calibration,KRR,0.5284787877584154,15,750,50
OT_Calibration,NN,0.6284937917677003,15,750,50
OT_Calibration,W1_to_target,0.2963974091820507,15,750,50
TLCQM,XGBoost,0.3188097351819211,15,750,50
TLCQM,KRR,0.3223349274638032,15,750,50
TLCQM,NN,0.315434343233255,15,750,50
TLCQM,W1_to_target,0.0760720591427203,15,750,50
TLCQM,AvgPinball,0.1652193812418512,15,750,50
TLCQM,CRPS,0.302273624161263,15,750,50
Engression_Only,XGBoost,3.687988843917192,20,1000,50
Engression_Only,KRR,2.0982590077120227,20,1000,50
Engression_Only,NN,3.8577672732001167,20,1000,50
Engression_Only,W1_to_target,2.053702185171287,20,1000,50
Mean_Matching,XGBoost,0.3008723373766611,20,1000,50
Mean_Matching,KRR,0.3096358677065733,20,1000,50
Mean_Matching,NN,0.308517738010587,20,1000,50
Mean_Matching,W1_to_target,0.3346040814136443,20,1000,50
OT_Calibration,XGBoost,0.6315813195209239,20,1000,50
OT_Calibration,KRR,0.6550079788518925,20,1000,50
OT_Calibration,NN,0.6935663558719664,20,1000,50
OT_Calibration,W1_to_target,0.3411953042870332,20,1000,50
TLCQM,XGBoost,0.2979866519472387,20,1000,50
TLCQM,KRR,0.3105577146910451,20,1000,50
TLCQM,NN,0.3094047023122113,20,1000,50
TLCQM,W1_to_target,0.0764858491151373,20,1000,50
TLCQM,AvgPinball,0.1632887097349908,20,1000,50
TLCQM,CRPS,0.2992083302660509,20,1000,50
Engression_Only,XGBoost,3.41633582648241,30,1500,50
Engression_Only,KRR,2.019131092158858,30,1500,50
Engression_Only,NN,2.9756455251122778,30,1500,50
Engression_Only,W1_to_target,2.161485365225454,30,1500,50
Mean_Matching,XGBoost,0.298875372302833,30,1500,50
Mean_Matching,KRR,0.3154594590091673,30,1500,50
Mean_Matching,NN,0.3018811999895183,30,1500,50
Mean_Matching,W1_to_target,0.2960174312015048,30,1500,50
OT_Calibration,XGBoost,0.4218329524374982,30,1500,50
OT_Calibration,KRR,0.4842414151760977,30,1500,50
OT_Calibration,NN,0.4821363162251604,30,1500,50
OT_Calibration,W1_to_target,0.4063119382958695,30,1500,50
TLCQM,XGBoost,0.3007503238638637,30,1500,50
TLCQM,KRR,0.3110570942841283,30,1500,50
TLCQM,NN,0.3034642447911934,30,1500,50
TLCQM,W1_to_target,0.0760611753827081,30,1500,50
TLCQM,AvgPinball,0.163501140976538,30,1500,50
TLCQM,CRPS,0.2988721542122073,30,1500,50
Engression_Only,XGBoost,0.8781166849015736,1,100,100
Engression_Only,KRR,0.7646528717158041,1,100,100
Engression_Only,NN,1.055332453116351,1,100,100
Engression_Only,W1_to_target,2.2191368844263626,1,100,100
