Method,MSE,target_size
XGBoost_Target_Only,0.1161127695247395,100
KRR_Target_Only,30.90012038445316,100
NN_Target_Only,21.48263015251148,100
XGBoost_Pool,0.10363869438193,100
KRR_Pool,1.6119024370210495,100
NN_Pool,5.632958752262286,100
XGBoost_TLCQM,0.1124889073677308,100
KRR_TLCQM,1.748055417511707,100
NN_TLCQM,0.1150773529018312,100
XGBoost_Target_Only,0.0963587479805767,200
KRR_Target_Only,19.83015378673823,200
NN_Target_Only,19.9047325452946,200
XGBoost_Pool,0.0973170437804562,200
KRR_Pool,1.61783255016849,200
NN_Pool,3.3152784956094035,200
XGBoost_TLCQM,0.1045656966223443,200
KRR_TLCQM,1.7337167888254204,200
NN_TLCQM,0.1129884946119825,200
XGBoost_Target_Only,0.0958024899459474,300
KRR_Target_Only,13.846665770653225,300
NN_Target_Only,6.279279511653037,300
XGBoost_Pool,0.0961381198598314,300
KRR_Pool,1.534429743926787,300
NN_Pool,6.044818697714701,300
XGBoost_TLCQM,0.0999819140681692,300
KRR_TLCQM,1.651848704865112,300
NN_TLCQM,0.1440455178461517,300
XGBoost_Target_Only,0.0928430987552638,500
KRR_Target_Only,9.20064976121149,500
NN_Target_Only,0.1554493204180322,500
XGBoost_Pool,0.0955468888269744,500
KRR_Pool,1.4773589295354284,500
NN_Pool,4.87191625867799,500
XGBoost_TLCQM,0.1001018116829081,500
KRR_TLCQM,1.5764373241495564,500
NN_TLCQM,0.104379224132208,500
TKRR,1.905373040259549,100
CDAR,6.0172716967978666,100
DARC,24.54150189579829,100
TKRR,1.9089520605980503,200
CDAR,6.675689627319227,200
DARC,28.366032784379648,200
TKRR,1.8474732841038264,300
CDAR,6.037329300125716,300
DARC,43.64480221435387,300
TKRR,1.773946709240093,500
CDAR,5.821825441914855,500
DARC,35.92312495731448,500
XGBoost_Target_Only,0.1217859626185718,100
KRR_Target_Only,29.88138337619736,100
NN_Target_Only,22.543612587332785,100
XGBoost_Pool,0.0997312296879152,100
KRR_Pool,1.5851814081293616,100
NN_Pool,3.1546988833028653,100
XGBoost_TLCQM,0.1182578903002292,100
KRR_TLCQM,1.6879473795411666,100
NN_TLCQM,0.111013547844704,100
XGBoost_Target_Only,0.1084416595134147,200
KRR_Target_Only,19.94359355409996,200
NN_Target_Only,20.56759318093216,200
XGBoost_Pool,0.0975139211042941,200
KRR_Pool,1.5635419965015636,200
NN_Pool,4.672623220240456,200
