Method,MSE,target_size
XGBoost_Target_Only,0.1161127695247395,100
KRR_Target_Only,30.90012038445316,100
NN_Target_Only,21.48263015251148,100
XGBoost_Pool,0.10363869438193,100
KRR_Pool,1.6119024370210495,100
NN_Pool,5.632958752262286,100
XGBoost_TLCQM,0.1228134565649297,100
KRR_TLCQM,1.722533018494176,100
NN_TLCQM,0.1186417455944763,100
XGBoost_Target_Only,0.0963587479805767,200
KRR_Target_Only,19.83015378673823,200
NN_Target_Only,19.9047325452946,200
XGBoost_Pool,0.0973170437804562,200
KRR_Pool,1.61783255016849,200
NN_Pool,3.3152784956094035,200
XGBoost_TLCQM,0.1021253297305806,200
KRR_TLCQM,1.7372766209434092,200
NN_TLCQM,0.1113575627702414,200
XGBoost_Target_Only,0.0958024899459474,300
KRR_Target_Only,13.846665770653225,300
NN_Target_Only,6.279279511653037,300
XGBoost_Pool,0.0961381198598314,300
KRR_Pool,1.534429743926787,300
NN_Pool,6.044818697714701,300
XGBoost_TLCQM,0.1096168018674734,300
KRR_TLCQM,1.6493691998466185,300
NN_TLCQM,0.1125900834486971,300
XGBoost_Target_Only,0.0928430987552638,500
KRR_Target_Only,9.20064976121149,500
NN_Target_Only,0.1554493204180322,500
XGBoost_Pool,0.0955468888269744,500
KRR_Pool,1.4773589295354284,500
NN_Pool,4.87191625867799,500
XGBoost_TLCQM,0.1065307010647234,500
KRR_TLCQM,1.5875295677339325,500
NN_TLCQM,0.1196659690658305,500
TKRR,1.905373040259548,100
CDAR,5.395244768740555,100
DARC,37.98654173023,100
VNCD_MDD,0.1776395629767249,100
M3SDA_Reg,0.1175144249811155,100
CMSS_Reg,0.1091715687309972,100
TKRR,1.90895206059805,200
CDAR,6.234986193593818,200
DARC,40.31327795142802,200
VNCD_MDD,0.1807367818045976,200
M3SDA_Reg,0.108212297552475,200
CMSS_Reg,0.1063411993389757,200
TKRR,1.8474732841038264,300
CDAR,6.139244738148328,300
DARC,40.05734993220279,300
VNCD_MDD,0.1712083603540004,300
M3SDA_Reg,0.1124552538859809,300
CMSS_Reg,0.1065016685014851,300
TKRR,1.773946709240093,500
CDAR,6.170088536399168,500
DARC,40.55597808009967,500
VNCD_MDD,0.157417561518828,500
M3SDA_Reg,0.1161481666465859,500
CMSS_Reg,0.1036346896822748,500
XGBoost_Target_Only,0.1217859626185718,100
KRR_Target_Only,29.88138337619736,100
NN_Target_Only,22.543612587332785,100
