Method,MSE,source_size,target_size
TKRR,0.3841560265538477,100,50
CDAR,0.3361169484618724,100,50
DARC,0.4601110786876055,100,50
VNCD_MDD,0.3313344525778616,100,50
M3SDA_Reg,1.5806801244686368,100,50
CMSS_Reg,0.6001989265780523,100,50
TKRR,0.3965255994708109,200,50
CDAR,0.3506006241324926,200,50
DARC,0.4424054809541921,200,50
VNCD_MDD,0.326436918077031,200,50
M3SDA_Reg,1.9749574017411216,200,50
CMSS_Reg,0.7001455732229025,200,50
TKRR,0.4058888252805733,500,50
CDAR,0.3519901973436345,500,50
DARC,1.5906001811248884,500,50
VNCD_MDD,0.3256222760836851,500,50
M3SDA_Reg,1.4637314854933356,500,50
CMSS_Reg,0.5808129070479006,500,50
TKRR,0.3992840940133953,1000,50
CDAR,0.346711074014516,1000,50
DARC,2.156078139281383,1000,50
VNCD_MDD,0.3266048620658224,1000,50
M3SDA_Reg,2.1194592121121136,1000,50
CMSS_Reg,0.5564357892666302,1000,50
TKRR,0.3925057510147542,2000,50
CDAR,0.3493758000601717,2000,50
DARC,3.1291182326859164,2000,50
VNCD_MDD,0.3315833439259451,2000,50
M3SDA_Reg,2.6278998217410336,2000,50
CMSS_Reg,0.4815311527271258,2000,50
TKRR,0.3504396760284023,100,100
CDAR,0.3317621013327236,100,100
DARC,0.889988969537857,100,100
VNCD_MDD,0.3443424976794036,100,100
M3SDA_Reg,0.9020207677765698,100,100
CMSS_Reg,0.5206534657991889,100,100
TKRR,0.3404347130863719,200,100
CDAR,0.3282867852636335,200,100
DARC,0.7292330640799431,200,100
VNCD_MDD,0.3345090163300377,200,100
M3SDA_Reg,2.0897384676125483,200,100
CMSS_Reg,0.6022886844192619,200,100
TKRR,0.3426242425551384,500,100
CDAR,0.3283169603069209,500,100
DARC,0.3392995282674579,500,100
VNCD_MDD,0.3355678528469872,500,100
M3SDA_Reg,1.1786839645383762,500,100
CMSS_Reg,0.5112528587786134,500,100
TKRR,0.3381458575122165,1000,100
CDAR,0.3236536942346203,1000,100
DARC,1.9821383357733444,1000,100
VNCD_MDD,0.3287630157124624,1000,100
M3SDA_Reg,2.293345214682918,1000,100
CMSS_Reg,0.464817460443285,1000,100
TKRR,0.3390534024875876,2000,100
CDAR,0.3226278996857346,2000,100
DARC,1.0434032854908737,2000,100
VNCD_MDD,0.3162366519741165,2000,100
M3SDA_Reg,2.072526914847411,2000,100
CMSS_Reg,0.4716599448503228,2000,100
TKRR,0.3110270539858563,100,150
CDAR,0.3036390650899309,100,150
DARC,0.913577284480918,100,150
VNCD_MDD,0.3233763826841671,100,150
M3SDA_Reg,2.052030021850641,100,150
CMSS_Reg,0.4959857875662797,100,150
TKRR,0.3169029087880047,200,150
CDAR,0.3150429654562367,200,150
DARC,0.5156036100800149,200,150
VNCD_MDD,0.314708565050359,200,150
M3SDA_Reg,1.7799107470444098,200,150
CMSS_Reg,0.4537812592664164,200,150
TKRR,0.3048901863115054,500,150
CDAR,0.3110016993951748,500,150
DARC,0.7433469636059246,500,150
VNCD_MDD,0.3101739357400024,500,150
M3SDA_Reg,1.7799213327566532,500,150
CMSS_Reg,0.4292179089898948,500,150
TKRR,0.3120172396757178,1000,150
CDAR,0.3078565136686176,1000,150
DARC,0.6586118119598228,1000,150
VNCD_MDD,0.3084416199030034,1000,150
M3SDA_Reg,2.073057068240098,1000,150
CMSS_Reg,0.4315319829931613,1000,150
TKRR,0.3005679023370023,2000,150
CDAR,0.3069739843359771,2000,150
DARC,1.949969737075368,2000,150
VNCD_MDD,0.3085286729128896,2000,150
M3SDA_Reg,2.311871819242287,2000,150
CMSS_Reg,0.4166084640747725,2000,150
TKRR,0.3260308556932358,100,200
CDAR,0.3350671659785815,100,200
DARC,1.0613381346762374,100,200
VNCD_MDD,0.3222823316859999,100,200
M3SDA_Reg,2.0871612749308097,100,200
CMSS_Reg,0.5059608025558119,100,200
TKRR,0.3154064462811621,200,200
