Method,MSE,source_size,target_size
XGBoost_Engression_Only,0.5824473044334301,50,50
KRR_Engression_Only,0.5414353028850482,50,50
NN_Engression_Only,0.5320965786322805,50,50
XGBoost_Mean_Matching,0.3073323418925133,50,50
KRR_Mean_Matching,0.3314917582914374,50,50
NN_Mean_Matching,0.3395958219301948,50,50
XGBoost_OT_Calibration,0.3649484629865039,50,50
KRR_OT_Calibration,0.3527371808677758,50,50
NN_OT_Calibration,0.3550916686745295,50,50
XGBoost_TLCQM,0.355707704434635,50,50
KRR_TLCQM,0.3987800122296451,50,50
NN_TLCQM,0.464121861819417,50,50
XGBoost_Engression_Only,2.4724558730913024,100,50
KRR_Engression_Only,0.7701697107655311,100,50
NN_Engression_Only,1.004313245735066,100,50
XGBoost_Mean_Matching,0.3077920547166794,100,50
KRR_Mean_Matching,0.3271909216542642,100,50
NN_Mean_Matching,0.3252185331096876,100,50
XGBoost_OT_Calibration,0.377884862345852,100,50
KRR_OT_Calibration,0.3767105269572983,100,50
NN_OT_Calibration,0.3722983328812356,100,50
XGBoost_TLCQM,0.3533786273860639,100,50
KRR_TLCQM,0.34714152867247,100,50
NN_TLCQM,0.3375065270365127,100,50
XGBoost_Engression_Only,3.667188865962287,250,50
KRR_Engression_Only,1.7956561277482803,250,50
NN_Engression_Only,3.680917295722336,250,50
XGBoost_Mean_Matching,0.301463486763255,250,50
KRR_Mean_Matching,0.3158473027201814,250,50
NN_Mean_Matching,0.3022740396464968,250,50
XGBoost_OT_Calibration,0.3768526101923768,250,50
KRR_OT_Calibration,0.4058253215285661,250,50
NN_OT_Calibration,0.4221299132176671,250,50
XGBoost_TLCQM,0.2999843972467058,250,50
KRR_TLCQM,0.3301163442193615,250,50
NN_TLCQM,0.3113036580092654,250,50
XGBoost_Engression_Only,3.386385974614652,500,50
KRR_Engression_Only,1.6038496405978218,500,50
NN_Engression_Only,2.802186732607237,500,50
XGBoost_Mean_Matching,0.3081079682618121,500,50
KRR_Mean_Matching,0.3301761275168778,500,50
NN_Mean_Matching,0.3163853146500162,500,50
XGBoost_OT_Calibration,0.4049160975696528,500,50
KRR_OT_Calibration,0.4308184673643196,500,50
NN_OT_Calibration,0.3872525438712879,500,50
XGBoost_TLCQM,0.3074203086669554,500,50
KRR_TLCQM,0.3260582639892967,500,50
NN_TLCQM,0.3090669930565641,500,50
XGBoost_Engression_Only,3.9171838452698937,750,50
KRR_Engression_Only,2.3109061939772584,750,50
NN_Engression_Only,3.5049890369939347,750,50
XGBoost_Mean_Matching,0.3039697990636566,750,50
KRR_Mean_Matching,0.320187486825432,750,50
NN_Mean_Matching,0.3076362788071811,750,50
XGBoost_OT_Calibration,0.5645381471334954,750,50
KRR_OT_Calibration,0.5761839387738508,750,50
NN_OT_Calibration,0.5829863700486135,750,50
XGBoost_TLCQM,0.3649601965853414,750,50
KRR_TLCQM,0.3690957929332732,750,50
NN_TLCQM,0.3742324824027398,750,50
XGBoost_Engression_Only,3.6450047983900222,1000,50
KRR_Engression_Only,2.159332813771786,1000,50
NN_Engression_Only,3.45298254638076,1000,50
XGBoost_Mean_Matching,0.3043463056533846,1000,50
KRR_Mean_Matching,0.3277141287151495,1000,50
NN_Mean_Matching,0.3144773003449657,1000,50
XGBoost_OT_Calibration,0.5429024389035084,1000,50
KRR_OT_Calibration,0.5509808753120694,1000,50
NN_OT_Calibration,0.5113042982608157,1000,50
XGBoost_TLCQM,0.3863807639880789,1000,50
KRR_TLCQM,0.3882494410889497,1000,50
NN_TLCQM,0.3942281731023703,1000,50
XGBoost_Engression_Only,3.838328782282397,1500,50
KRR_Engression_Only,2.8842313712087937,1500,50
NN_Engression_Only,3.803559123844211,1500,50
