Method,MSE,source_size,target_size
XGBoost_Naive_Comb,0.6391659123028888,50,50
KRR_Naive_Comb,0.5308818418222503,50,50
NN_Naive_Comb,0.6348355730213053,50,50
XGBoost_Source1,4.689629245451197,50,50
KRR_Source1,4.173488631402857,50,50
NN_Source1,5.236394563681666,50,50
XGBoost_Source2,4.509853185377912,50,50
KRR_Source2,2.889576233405176,50,50
NN_Source2,6.704252511187475,50,50
XGBoost_Naive_Comb,1.5309408749352822,100,50
KRR_Naive_Comb,0.6121838688575848,100,50
NN_Naive_Comb,0.8671483282010995,100,50
XGBoost_Source1,5.020042510721311,100,50
KRR_Source1,8.551896554439761,100,50
NN_Source1,6.7415257128076735,100,50
XGBoost_Source2,4.579404430452575,100,50
KRR_Source2,2.028870745486757,100,50
NN_Source2,5.14958223592144,100,50
XGBoost_Naive_Comb,2.491796194485381,250,50
KRR_Naive_Comb,1.1162937433859843,250,50
NN_Naive_Comb,0.9983460480306792,250,50
XGBoost_Source1,4.486672643027252,250,50
KRR_Source1,10.774947358864196,250,50
NN_Source1,8.375352552562207,250,50
XGBoost_Source2,5.277729064972364,250,50
KRR_Source2,5.0942453999410935,250,50
NN_Source2,9.103154167579875,250,50
XGBoost_Naive_Comb,3.730155513102796,500,50
KRR_Naive_Comb,1.1731305030849457,500,50
NN_Naive_Comb,1.4082722232805591,500,50
XGBoost_Source1,4.90020378659715,500,50
KRR_Source1,8.331040850524996,500,50
NN_Source1,6.444475247408266,500,50
XGBoost_Source2,4.236039006140746,500,50
KRR_Source2,4.1280987360433175,500,50
NN_Source2,2.7413280369243083,500,50
XGBoost_Naive_Comb,2.759751860899857,750,50
KRR_Naive_Comb,1.8521382481676545,750,50
NN_Naive_Comb,1.6126449535306568,750,50
XGBoost_Source1,4.643496428781874,750,50
KRR_Source1,6.805597835920242,750,50
NN_Source1,4.570193670495558,750,50
XGBoost_Source2,4.21229433865688,750,50
KRR_Source2,11.062691970934411,750,50
NN_Source2,5.007112204243427,750,50
XGBoost_Naive_Comb,2.6195035656325825,1000,50
KRR_Naive_Comb,2.081037429136777,1000,50
NN_Naive_Comb,2.0693353822821616,1000,50
XGBoost_Source1,4.449349646218122,1000,50
KRR_Source1,6.871562931711478,1000,50
NN_Source1,5.586018958723811,1000,50
XGBoost_Source2,3.76080326361916,1000,50
KRR_Source2,12.375999487502073,1000,50
NN_Source2,10.234147851400458,1000,50
XGBoost_Naive_Comb,2.853023367399491,1500,50
KRR_Naive_Comb,2.4847466136425296,1500,50
NN_Naive_Comb,2.7322128792650062,1500,50
XGBoost_Source1,4.532560482430877,1500,50
KRR_Source1,6.406644400058351,1500,50
NN_Source1,4.301045879226014,1500,50
XGBoost_Source2,4.594032921646684,1500,50
KRR_Source2,13.03044109238986,1500,50
NN_Source2,8.673186832621912,1500,50
XGBoost_Naive_Comb,0.4719338136026476,100,100
KRR_Naive_Comb,0.4640115561946421,100,100
NN_Naive_Comb,0.5098789622378735,100,100
XGBoost_Source1,4.307302969436236,100,100
KRR_Source1,4.477465772038872,100,100
NN_Source1,5.005223838779131,100,100
XGBoost_Source2,4.090875242378941,100,100
