Method,MSE,source_size,target_size,alpha
XGBoost_Mixup_Comb,0.3529184661968684,50,50,0.2
KRR_Mixup_Comb,2.208109862924682,50,50,0.2
NN_Mixup_Comb,0.4207225090280561,50,50,0.2
XGBoost_Mixup_Comb,0.3630047619880803,50,50,0.4
KRR_Mixup_Comb,1.2837768552558784,50,50,0.4
NN_Mixup_Comb,0.4017266862160986,50,50,0.4
XGBoost_Mixup_Comb,0.3768418886398901,50,50,0.5
KRR_Mixup_Comb,0.9000285604746353,50,50,0.5
NN_Mixup_Comb,0.4488279458329929,50,50,0.5
XGBoost_Mixup_Comb,0.3629595426942786,50,50,0.6
KRR_Mixup_Comb,1.0355508692731257,50,50,0.6
NN_Mixup_Comb,0.3779225050924154,50,50,0.6
XGBoost_Mixup_Comb,0.3620382527108427,50,50,0.8
KRR_Mixup_Comb,1.3669449882226166,50,50,0.8
NN_Mixup_Comb,0.4095408249700776,50,50,0.8
XGBoost_Mixup_Comb,0.3520171806206625,100,50,0.2
KRR_Mixup_Comb,2.266046827863469,100,50,0.2
NN_Mixup_Comb,0.4157003557750774,100,50,0.2
XGBoost_Mixup_Comb,0.3585812578185225,100,50,0.4
KRR_Mixup_Comb,1.311243584843785,100,50,0.4
NN_Mixup_Comb,0.3994361227567254,100,50,0.4
XGBoost_Mixup_Comb,0.3731281549264896,100,50,0.5
KRR_Mixup_Comb,0.9194598845469708,100,50,0.5
NN_Mixup_Comb,0.4493602817089043,100,50,0.5
XGBoost_Mixup_Comb,0.3598759957416281,100,50,0.6
KRR_Mixup_Comb,1.045764214781298,100,50,0.6
NN_Mixup_Comb,0.3784894547862054,100,50,0.6
XGBoost_Mixup_Comb,0.3547081437595822,100,50,0.8
KRR_Mixup_Comb,1.3525298552015532,100,50,0.8
NN_Mixup_Comb,0.4039333822904967,100,50,0.8
XGBoost_Mixup_Comb,0.358259326002596,250,50,0.2
KRR_Mixup_Comb,2.347796466653543,250,50,0.2
NN_Mixup_Comb,0.4166623741408069,250,50,0.2
XGBoost_Mixup_Comb,0.3636599090829674,250,50,0.4
KRR_Mixup_Comb,1.3318526129221997,250,50,0.4
NN_Mixup_Comb,0.3962681325123162,250,50,0.4
XGBoost_Mixup_Comb,0.3815686361377539,250,50,0.5
KRR_Mixup_Comb,0.9131913798702332,250,50,0.5
NN_Mixup_Comb,0.4432277833371029,250,50,0.5
XGBoost_Mixup_Comb,0.3657718598654131,250,50,0.6
KRR_Mixup_Comb,1.0431736677586454,250,50,0.6
NN_Mixup_Comb,0.3715021175212009,250,50,0.6
XGBoost_Mixup_Comb,0.370382075049162,250,50,0.8
KRR_Mixup_Comb,1.3757759588376173,250,50,0.8
NN_Mixup_Comb,0.4036774547370152,250,50,0.8
XGBoost_Mixup_Comb,0.3547291295900107,500,50,0.2
KRR_Mixup_Comb,2.448088132035821,500,50,0.2
NN_Mixup_Comb,0.4159748809458554,500,50,0.2
XGBoost_Mixup_Comb,0.3566166007194882,500,50,0.4
KRR_Mixup_Comb,1.3088280091500384,500,50,0.4
NN_Mixup_Comb,0.4012948789570047,500,50,0.4
XGBoost_Mixup_Comb,0.3676598213063245,500,50,0.5
KRR_Mixup_Comb,0.9131483965442444,500,50,0.5
NN_Mixup_Comb,0.4419350608683492,500,50,0.5
XGBoost_Mixup_Comb,0.3499991714476024,500,50,0.6
KRR_Mixup_Comb,1.0297441812242132,500,50,0.6
NN_Mixup_Comb,0.3781820468081897,500,50,0.6
XGBoost_Mixup_Comb,0.3618546719944611,500,50,0.8
KRR_Mixup_Comb,1.3702909470093736,500,50,0.8
NN_Mixup_Comb,0.4081879164235018,500,50,0.8
XGBoost_Mixup_Comb,0.3406358308476576,750,50,0.2
KRR_Mixup_Comb,2.501941251616537,750,50,0.2
NN_Mixup_Comb,0.4075895210210608,750,50,0.2
XGBoost_Mixup_Comb,0.3453466248694289,750,50,0.4
KRR_Mixup_Comb,1.3291421357278668,750,50,0.4
NN_Mixup_Comb,0.3904674897915884,750,50,0.4
XGBoost_Mixup_Comb,0.3528789421736237,750,50,0.5
KRR_Mixup_Comb,0.904255120261456,750,50,0.5
NN_Mixup_Comb,0.4342687879335482,750,50,0.5
XGBoost_Mixup_Comb,0.3438896306007705,750,50,0.6
KRR_Mixup_Comb,1.052391408342224,750,50,0.6
NN_Mixup_Comb,0.3672213849394751,750,50,0.6
XGBoost_Mixup_Comb,0.3543029199438068,750,50,0.8
KRR_Mixup_Comb,1.4116490317100907,750,50,0.8
NN_Mixup_Comb,0.4008056820073467,750,50,0.8
XGBoost_Mixup_Comb,0.3514383765427833,1000,50,0.2
KRR_Mixup_Comb,2.4803171909558603,1000,50,0.2
NN_Mixup_Comb,0.4196451191530054,1000,50,0.2
XGBoost_Mixup_Comb,0.3638416021019172,1000,50,0.4
KRR_Mixup_Comb,1.391809833451534,1000,50,0.4
NN_Mixup_Comb,0.4034848476343676,1000,50,0.4
XGBoost_Mixup_Comb,0.3782171885928284,1000,50,0.5
KRR_Mixup_Comb,0.9397625465519764,1000,50,0.5
NN_Mixup_Comb,0.4515041650873093,1000,50,0.5
XGBoost_Mixup_Comb,0.3563759074032755,1000,50,0.6
KRR_Mixup_Comb,1.093896202780683,1000,50,0.6
NN_Mixup_Comb,0.3784428556196161,1000,50,0.6
XGBoost_Mixup_Comb,0.3568177040978851,1000,50,0.8
KRR_Mixup_Comb,1.4532353316608988,1000,50,0.8
NN_Mixup_Comb,0.4086122423303713,1000,50,0.8
XGBoost_Mixup_Comb,0.3468875236404622,1500,50,0.2
KRR_Mixup_Comb,2.2439173948232165,1500,50,0.2
NN_Mixup_Comb,0.4139424093465503,1500,50,0.2
XGBoost_Mixup_Comb,0.3576271703016097,1500,50,0.4
KRR_Mixup_Comb,1.376841499451817,1500,50,0.4
NN_Mixup_Comb,0.4005316339426716,1500,50,0.4
XGBoost_Mixup_Comb,0.3695868583409378,1500,50,0.5
KRR_Mixup_Comb,0.9400636513948856,1500,50,0.5
NN_Mixup_Comb,0.4480206021582282,1500,50,0.5
XGBoost_Mixup_Comb,0.350719419478495,1500,50,0.6
KRR_Mixup_Comb,1.1084366831298182,1500,50,0.6
NN_Mixup_Comb,0.3803033838028501,1500,50,0.6
XGBoost_Mixup_Comb,0.3541705888205214,1500,50,0.8
KRR_Mixup_Comb,1.4110403212812757,1500,50,0.8
NN_Mixup_Comb,0.4084020582543302,1500,50,0.8
XGBoost_Mixup_Comb,0.3513538733372631,100,100,0.2
KRR_Mixup_Comb,1.1480379490776065,100,100,0.2
