Method,MSE,source_size,target_size,alpha
NN_Mixup_Comb,0.4284159967718838,100,100,0.2
XGBoost_Mixup_Comb,0.3601139793490467,100,100,0.4
KRR_Mixup_Comb,1.96043423696644,100,100,0.4
NN_Mixup_Comb,0.4109994183408787,100,100,0.4
XGBoost_Mixup_Comb,0.3678630320138378,100,100,0.5
KRR_Mixup_Comb,1.6144138433574455,100,100,0.5
NN_Mixup_Comb,0.4094763110713172,100,100,0.5
XGBoost_Mixup_Comb,0.3647902172306566,100,100,0.6
KRR_Mixup_Comb,0.9252274453953968,100,100,0.6
NN_Mixup_Comb,0.4239801735230273,100,100,0.6
XGBoost_Mixup_Comb,0.3767538043651684,100,100,0.8
KRR_Mixup_Comb,0.9517610172482908,100,100,0.8
NN_Mixup_Comb,0.4006591288723892,100,100,0.8
XGBoost_Mixup_Comb,0.346364212736531,200,100,0.2
KRR_Mixup_Comb,1.167487301360456,200,100,0.2
NN_Mixup_Comb,0.409617872367691,200,100,0.2
XGBoost_Mixup_Comb,0.3451091024348452,200,100,0.4
KRR_Mixup_Comb,1.99919204784334,200,100,0.4
NN_Mixup_Comb,0.392375326446614,200,100,0.4
XGBoost_Mixup_Comb,0.357238991590492,200,100,0.5
KRR_Mixup_Comb,1.6244362276601405,200,100,0.5
NN_Mixup_Comb,0.3914053857888432,200,100,0.5
XGBoost_Mixup_Comb,0.3625536569468563,200,100,0.6
KRR_Mixup_Comb,0.9517571218981744,200,100,0.6
NN_Mixup_Comb,0.4026034749819906,200,100,0.6
XGBoost_Mixup_Comb,0.3614187271368536,200,100,0.8
KRR_Mixup_Comb,0.9592912322600862,200,100,0.8
NN_Mixup_Comb,0.3815566266321784,200,100,0.8
XGBoost_Mixup_Comb,0.3418887721062213,500,100,0.2
KRR_Mixup_Comb,1.1495148018297463,500,100,0.2
NN_Mixup_Comb,0.4080494296637945,500,100,0.2
XGBoost_Mixup_Comb,0.3484084439478011,500,100,0.4
KRR_Mixup_Comb,2.0040816042773963,500,100,0.4
NN_Mixup_Comb,0.3850013687832911,500,100,0.4
XGBoost_Mixup_Comb,0.356348851075695,500,100,0.5
KRR_Mixup_Comb,1.6553536304569478,500,100,0.5
NN_Mixup_Comb,0.3924079146968907,500,100,0.5
XGBoost_Mixup_Comb,0.3520523902687891,500,100,0.6
KRR_Mixup_Comb,0.9277514743629316,500,100,0.6
NN_Mixup_Comb,0.3971190486016568,500,100,0.6
XGBoost_Mixup_Comb,0.3629762114722456,500,100,0.8
KRR_Mixup_Comb,0.9468458254599144,500,100,0.8
NN_Mixup_Comb,0.381707641707128,500,100,0.8
XGBoost_Mixup_Comb,0.3555069467258932,1000,100,0.2
KRR_Mixup_Comb,1.1874296849100965,1000,100,0.2
NN_Mixup_Comb,0.4227021392957674,1000,100,0.2
XGBoost_Mixup_Comb,0.3578596148106862,1000,100,0.4
KRR_Mixup_Comb,2.1299256510508435,1000,100,0.4
NN_Mixup_Comb,0.4061908541205787,1000,100,0.4
XGBoost_Mixup_Comb,0.3674465491366125,1000,100,0.5
KRR_Mixup_Comb,1.8012336473344694,1000,100,0.5
NN_Mixup_Comb,0.409536496667108,1000,100,0.5
XGBoost_Mixup_Comb,0.3589130198390811,1000,100,0.6
KRR_Mixup_Comb,0.9436204750567052,1000,100,0.6
NN_Mixup_Comb,0.4108284846763529,1000,100,0.6
XGBoost_Mixup_Comb,0.3766204959577984,1000,100,0.8
KRR_Mixup_Comb,0.9367599060569534,1000,100,0.8
NN_Mixup_Comb,0.3951937576100049,1000,100,0.8
XGBoost_Mixup_Comb,0.3348532612000144,1500,100,0.2
KRR_Mixup_Comb,1.1654057695428686,1500,100,0.2
NN_Mixup_Comb,0.4097169783320917,1500,100,0.2
XGBoost_Mixup_Comb,0.3479965066717307,1500,100,0.4
KRR_Mixup_Comb,2.019532475999739,1500,100,0.4
NN_Mixup_Comb,0.3962698842806708,1500,100,0.4
XGBoost_Mixup_Comb,0.3537633237786293,1500,100,0.5
KRR_Mixup_Comb,1.713294405381666,1500,100,0.5
NN_Mixup_Comb,0.3918601432723909,1500,100,0.5
XGBoost_Mixup_Comb,0.3474582301962824,1500,100,0.6
KRR_Mixup_Comb,0.9140763255435866,1500,100,0.6
NN_Mixup_Comb,0.3961162037818724,1500,100,0.6
XGBoost_Mixup_Comb,0.3656152592331769,1500,100,0.8
KRR_Mixup_Comb,0.9636474232655212,1500,100,0.8
NN_Mixup_Comb,0.3794315410197434,1500,100,0.8
XGBoost_Mixup_Comb,0.3533115050634548,2000,100,0.2
KRR_Mixup_Comb,1.1179508647463188,2000,100,0.2
NN_Mixup_Comb,0.4127290896119448,2000,100,0.2
XGBoost_Mixup_Comb,0.3506470178721913,2000,100,0.4
KRR_Mixup_Comb,1.749522935105259,2000,100,0.4
NN_Mixup_Comb,0.4003910695755245,2000,100,0.4
XGBoost_Mixup_Comb,0.363761780621728,2000,100,0.5
KRR_Mixup_Comb,1.49031543672747,2000,100,0.5
NN_Mixup_Comb,0.399885765620376,2000,100,0.5
XGBoost_Mixup_Comb,0.3575168609683996,2000,100,0.6
KRR_Mixup_Comb,0.9078211621424828,2000,100,0.6
NN_Mixup_Comb,0.4011857778708551,2000,100,0.6
XGBoost_Mixup_Comb,0.3712776056404344,2000,100,0.8
KRR_Mixup_Comb,0.8992066909450933,2000,100,0.8
NN_Mixup_Comb,0.3868734726378213,2000,100,0.8
XGBoost_Mixup_Comb,0.3533216988674976,3000,100,0.2
KRR_Mixup_Comb,1.1683706866290364,3000,100,0.2
NN_Mixup_Comb,0.416392713981399,3000,100,0.2
XGBoost_Mixup_Comb,0.3589379551154714,3000,100,0.4
KRR_Mixup_Comb,1.9843121307873268,3000,100,0.4
NN_Mixup_Comb,0.3885773689824051,3000,100,0.4
XGBoost_Mixup_Comb,0.3675934779252396,3000,100,0.5
KRR_Mixup_Comb,1.673145848469583,3000,100,0.5
NN_Mixup_Comb,0.3938003015753663,3000,100,0.5
XGBoost_Mixup_Comb,0.3602111695409534,3000,100,0.6
KRR_Mixup_Comb,0.9316507411318186,3000,100,0.6
NN_Mixup_Comb,0.4000302945256479,3000,100,0.6
XGBoost_Mixup_Comb,0.3782745987765382,3000,100,0.8
KRR_Mixup_Comb,0.9192933367119118,3000,100,0.8
NN_Mixup_Comb,0.3809380027508141,3000,100,0.8
XGBoost_Mixup_Comb,0.3254592159023385,150,150,0.2
KRR_Mixup_Comb,1.667843736774626,150,150,0.2
NN_Mixup_Comb,0.4068691895615337,150,150,0.2
XGBoost_Mixup_Comb,0.3349917223604391,150,150,0.4
KRR_Mixup_Comb,2.115550744875396,150,150,0.4
NN_Mixup_Comb,0.3559394802310125,150,150,0.4
XGBoost_Mixup_Comb,0.3310742363039134,150,150,0.5
KRR_Mixup_Comb,1.63841080687605,150,150,0.5
NN_Mixup_Comb,0.3786956380935347,150,150,0.5
XGBoost_Mixup_Comb,0.3262369634735348,150,150,0.6
KRR_Mixup_Comb,0.8560956888480308,150,150,0.6
NN_Mixup_Comb,0.3768143808459091,150,150,0.6
XGBoost_Mixup_Comb,0.3283740728441884,150,150,0.8
KRR_Mixup_Comb,0.6154470732800907,150,150,0.8
NN_Mixup_Comb,0.3452029416740442,150,150,0.8
XGBoost_Mixup_Comb,0.3372826954544079,300,150,0.2
KRR_Mixup_Comb,1.7549192161702083,300,150,0.2
NN_Mixup_Comb,0.4334279999874556,300,150,0.2
XGBoost_Mixup_Comb,0.3417241626106617,300,150,0.4
KRR_Mixup_Comb,2.0487629863789274,300,150,0.4
NN_Mixup_Comb,0.3739467201839923,300,150,0.4
XGBoost_Mixup_Comb,0.3502866999338913,300,150,0.5
KRR_Mixup_Comb,1.7367789110615677,300,150,0.5
NN_Mixup_Comb,0.3931148212719514,300,150,0.5
XGBoost_Mixup_Comb,0.3399744705956848,300,150,0.6
KRR_Mixup_Comb,0.9083784836868122,300,150,0.6
NN_Mixup_Comb,0.4025056368979512,300,150,0.6
XGBoost_Mixup_Comb,0.3494075424902378,300,150,0.8
KRR_Mixup_Comb,0.6579555493060827,300,150,0.8
NN_Mixup_Comb,0.3662865326379276,300,150,0.8
XGBoost_Mixup_Comb,0.3250022741366726,750,150,0.2
KRR_Mixup_Comb,1.9093597261205264,750,150,0.2
NN_Mixup_Comb,0.4246546823252125,750,150,0.2
XGBoost_Mixup_Comb,0.336040549613952,750,150,0.4
KRR_Mixup_Comb,2.151969730032626,750,150,0.4
NN_Mixup_Comb,0.3641892215473049,750,150,0.4
XGBoost_Mixup_Comb,0.3325897101047003,750,150,0.5
KRR_Mixup_Comb,1.7507719056060975,750,150,0.5
NN_Mixup_Comb,0.379022530228453,750,150,0.5
XGBoost_Mixup_Comb,0.3335198338077667,750,150,0.6
KRR_Mixup_Comb,0.9114197718787168,750,150,0.6
NN_Mixup_Comb,0.3842021388747011,750,150,0.6
XGBoost_Mixup_Comb,0.3335584495226564,750,150,0.8
KRR_Mixup_Comb,0.6476707167556013,750,150,0.8
NN_Mixup_Comb,0.3421626533174109,750,150,0.8
XGBoost_Mixup_Comb,0.3442591703375231,1500,150,0.2
KRR_Mixup_Comb,1.6022882112457135,1500,150,0.2
NN_Mixup_Comb,0.4311435876849955,1500,150,0.2
XGBoost_Mixup_Comb,0.3521643929699731,1500,150,0.4
KRR_Mixup_Comb,2.2330227005253787,1500,150,0.4
NN_Mixup_Comb,0.3649028315584673,1500,150,0.4
XGBoost_Mixup_Comb,0.3531918497543977,1500,150,0.5
KRR_Mixup_Comb,1.4894850584106571,1500,150,0.5
NN_Mixup_Comb,0.4002237507136436,1500,150,0.5
XGBoost_Mixup_Comb,0.3515329983655314,1500,150,0.6
KRR_Mixup_Comb,0.8296308661239086,1500,150,0.6
NN_Mixup_Comb,0.4002888293722074,1500,150,0.6
XGBoost_Mixup_Comb,0.3555423404466469,1500,150,0.8
KRR_Mixup_Comb,0.6146270728231803,1500,150,0.8
NN_Mixup_Comb,0.3626303274999785,1500,150,0.8
XGBoost_Mixup_Comb,0.3252842116038751,2250,150,0.2
KRR_Mixup_Comb,1.5596699855098786,2250,150,0.2
NN_Mixup_Comb,0.4089094938913961,2250,150,0.2
XGBoost_Mixup_Comb,0.3381968657490188,2250,150,0.4
KRR_Mixup_Comb,2.0092092443570744,2250,150,0.4
NN_Mixup_Comb,0.3532370128496781,2250,150,0.4
XGBoost_Mixup_Comb,0.3392022672061118,2250,150,0.5
KRR_Mixup_Comb,1.491147559643894,2250,150,0.5
NN_Mixup_Comb,0.3877215227539338,2250,150,0.5
XGBoost_Mixup_Comb,0.333010321103914,2250,150,0.6
KRR_Mixup_Comb,0.774525347825167,2250,150,0.6
NN_Mixup_Comb,0.3947334813451539,2250,150,0.6
XGBoost_Mixup_Comb,0.3380500073412547,2250,150,0.8
KRR_Mixup_Comb,0.565543069889257,2250,150,0.8
NN_Mixup_Comb,0.3552964512224177,2250,150,0.8
XGBoost_Mixup_Comb,0.3272496634928122,3000,150,0.2
KRR_Mixup_Comb,1.6526375674100249,3000,150,0.2
NN_Mixup_Comb,0.4332855647930776,3000,150,0.2
XGBoost_Mixup_Comb,0.336739532370445,3000,150,0.4
KRR_Mixup_Comb,1.9196468338632864,3000,150,0.4
NN_Mixup_Comb,0.3722543296788884,3000,150,0.4
XGBoost_Mixup_Comb,0.3377369270494239,3000,150,0.5
KRR_Mixup_Comb,1.4545035347631912,3000,150,0.5
NN_Mixup_Comb,0.3906971673292177,3000,150,0.5
XGBoost_Mixup_Comb,0.3347761958778353,3000,150,0.6
KRR_Mixup_Comb,0.8234646284759074,3000,150,0.6
NN_Mixup_Comb,0.3960951323492178,3000,150,0.6
XGBoost_Mixup_Comb,0.3399682426529997,3000,150,0.8
KRR_Mixup_Comb,0.6178944541282505,3000,150,0.8
NN_Mixup_Comb,0.3645124071021908,3000,150,0.8
XGBoost_Mixup_Comb,0.3224842011088673,4500,150,0.2
KRR_Mixup_Comb,1.6182082658401478,4500,150,0.2
NN_Mixup_Comb,0.4217631138261199,4500,150,0.2
XGBoost_Mixup_Comb,0.3383803050203945,4500,150,0.4
KRR_Mixup_Comb,1.952301148566938,4500,150,0.4
NN_Mixup_Comb,0.3638534154789494,4500,150,0.4
XGBoost_Mixup_Comb,0.3381768565165711,4500,150,0.5
KRR_Mixup_Comb,1.4336594668635765,4500,150,0.5
NN_Mixup_Comb,0.3880340662260623,4500,150,0.5
XGBoost_Mixup_Comb,0.3362145708427578,4500,150,0.6
KRR_Mixup_Comb,0.8360954234237419,4500,150,0.6
NN_Mixup_Comb,0.3891402563519459,4500,150,0.6
XGBoost_Mixup_Comb,0.336013325860456,4500,150,0.8
KRR_Mixup_Comb,0.5989623763053755,4500,150,0.8
NN_Mixup_Comb,0.3523074113519006,4500,150,0.8
XGBoost_Mixup_Comb,0.4032313235127587,50,50,0.2
KRR_Mixup_Comb,1.960987238053976,50,50,0.2
NN_Mixup_Comb,0.4835724716468585,50,50,0.2
XGBoost_Mixup_Comb,0.3457833164147059,50,50,0.4
KRR_Mixup_Comb,1.1058412669152242,50,50,0.4
NN_Mixup_Comb,0.427387888263624,50,50,0.4
XGBoost_Mixup_Comb,0.3396016046258694,50,50,0.5
KRR_Mixup_Comb,0.5832055451387096,50,50,0.5
NN_Mixup_Comb,0.4290993973574507,50,50,0.5
XGBoost_Mixup_Comb,0.3917767659562823,50,50,0.6
KRR_Mixup_Comb,0.8370076164081169,50,50,0.6
NN_Mixup_Comb,0.4613753147193833,50,50,0.6
XGBoost_Mixup_Comb,0.3600844177740775,50,50,0.8
KRR_Mixup_Comb,0.7521922570906368,50,50,0.8
NN_Mixup_Comb,0.3847855035847397,50,50,0.8
XGBoost_Mixup_Comb,0.3832964683465469,100,50,0.2
KRR_Mixup_Comb,1.9579311346384904,100,50,0.2
NN_Mixup_Comb,0.4761933379048128,100,50,0.2
XGBoost_Mixup_Comb,0.3343528934547705,100,50,0.4
KRR_Mixup_Comb,1.0891886608639088,100,50,0.4
NN_Mixup_Comb,0.4160796918716252,100,50,0.4
XGBoost_Mixup_Comb,0.3310682888164655,100,50,0.5
KRR_Mixup_Comb,0.5797167981063389,100,50,0.5
NN_Mixup_Comb,0.4200660194792568,100,50,0.5
XGBoost_Mixup_Comb,0.3753533202095662,100,50,0.6
KRR_Mixup_Comb,0.8288409610572305,100,50,0.6
NN_Mixup_Comb,0.451618597416854,100,50,0.6
XGBoost_Mixup_Comb,0.3415433939930256,100,50,0.8
KRR_Mixup_Comb,0.7392488643082288,100,50,0.8
NN_Mixup_Comb,0.3735366419854414,100,50,0.8
XGBoost_Mixup_Comb,0.4072137726915777,250,50,0.2
KRR_Mixup_Comb,1.9359219938458616,250,50,0.2
NN_Mixup_Comb,0.4888557873175211,250,50,0.2
XGBoost_Mixup_Comb,0.3475930538309128,250,50,0.4
KRR_Mixup_Comb,1.0808171712890609,250,50,0.4
NN_Mixup_Comb,0.4269465333524585,250,50,0.4
XGBoost_Mixup_Comb,0.3394390718091769,250,50,0.5
KRR_Mixup_Comb,0.5938674310126284,250,50,0.5
NN_Mixup_Comb,0.434358941351821,250,50,0.5
XGBoost_Mixup_Comb,0.3871764988177242,250,50,0.6
KRR_Mixup_Comb,0.8379058425127666,250,50,0.6
NN_Mixup_Comb,0.4757572928893294,250,50,0.6
XGBoost_Mixup_Comb,0.3547378333793675,250,50,0.8
KRR_Mixup_Comb,0.7494746776901597,250,50,0.8
NN_Mixup_Comb,0.3871676453756095,250,50,0.8
XGBoost_Mixup_Comb,0.4112201996250939,500,50,0.2
KRR_Mixup_Comb,1.8127163242345337,500,50,0.2
NN_Mixup_Comb,0.4656729559589538,500,50,0.2
XGBoost_Mixup_Comb,0.3439856909051238,500,50,0.4
KRR_Mixup_Comb,1.0438980535315052,500,50,0.4
NN_Mixup_Comb,0.4131174377542663,500,50,0.4
XGBoost_Mixup_Comb,0.3378556181021007,500,50,0.5
KRR_Mixup_Comb,0.5751550567102164,500,50,0.5
NN_Mixup_Comb,0.415725191345292,500,50,0.5
XGBoost_Mixup_Comb,0.3872088951280748,500,50,0.6
KRR_Mixup_Comb,0.8051337490920332,500,50,0.6
NN_Mixup_Comb,0.4513649838144198,500,50,0.6
XGBoost_Mixup_Comb,0.3581283415301178,500,50,0.8
KRR_Mixup_Comb,0.7339516047487602,500,50,0.8
NN_Mixup_Comb,0.3754826657271142,500,50,0.8
XGBoost_Mixup_Comb,0.4284382017539326,750,50,0.2
KRR_Mixup_Comb,1.6791676066891572,750,50,0.2
NN_Mixup_Comb,0.4772013094455484,750,50,0.2
XGBoost_Mixup_Comb,0.3635901217075247,750,50,0.4
KRR_Mixup_Comb,1.0415274837903157,750,50,0.4
NN_Mixup_Comb,0.4317852404712296,750,50,0.4
XGBoost_Mixup_Comb,0.3489232870957053,750,50,0.5
KRR_Mixup_Comb,0.5765751552300752,750,50,0.5
NN_Mixup_Comb,0.4285536071237917,750,50,0.5
XGBoost_Mixup_Comb,0.4054190151100224,750,50,0.6
KRR_Mixup_Comb,0.776996999426938,750,50,0.6
NN_Mixup_Comb,0.4619982095178166,750,50,0.6
XGBoost_Mixup_Comb,0.3796453962577216,750,50,0.8
KRR_Mixup_Comb,0.7219856040759524,750,50,0.8
NN_Mixup_Comb,0.3940623839829463,750,50,0.8
XGBoost_Mixup_Comb,0.4099409171759037,1000,50,0.2
KRR_Mixup_Comb,1.7622762498556506,1000,50,0.2
NN_Mixup_Comb,0.4883842781742066,1000,50,0.2
XGBoost_Mixup_Comb,0.3500686483953764,1000,50,0.4
KRR_Mixup_Comb,1.0363888918132853,1000,50,0.4
NN_Mixup_Comb,0.438630355752365,1000,50,0.4
XGBoost_Mixup_Comb,0.3493508778744982,1000,50,0.5
KRR_Mixup_Comb,0.5847628963758007,1000,50,0.5
NN_Mixup_Comb,0.4335272155567447,1000,50,0.5
XGBoost_Mixup_Comb,0.4058588752485538,1000,50,0.6
KRR_Mixup_Comb,0.8121785929649331,1000,50,0.6
NN_Mixup_Comb,0.4590743270489527,1000,50,0.6
XGBoost_Mixup_Comb,0.3715063072088745,1000,50,0.8
KRR_Mixup_Comb,0.7392546360819524,1000,50,0.8
NN_Mixup_Comb,0.3947268692905761,1000,50,0.8
XGBoost_Mixup_Comb,0.4000508543000013,1500,50,0.2
KRR_Mixup_Comb,1.763399402589705,1500,50,0.2
NN_Mixup_Comb,0.4914739328826755,1500,50,0.2
XGBoost_Mixup_Comb,0.3442673746867186,1500,50,0.4
KRR_Mixup_Comb,1.0174782188505878,1500,50,0.4
NN_Mixup_Comb,0.4285505827228062,1500,50,0.4
XGBoost_Mixup_Comb,0.3451093549477038,1500,50,0.5
KRR_Mixup_Comb,0.5819499752488173,1500,50,0.5
NN_Mixup_Comb,0.4295971368207805,1500,50,0.5
XGBoost_Mixup_Comb,0.3890412120731183,1500,50,0.6
KRR_Mixup_Comb,0.7989831211087182,1500,50,0.6
NN_Mixup_Comb,0.4596401995668708,1500,50,0.6
XGBoost_Mixup_Comb,0.3650631484679908,1500,50,0.8
KRR_Mixup_Comb,0.7345647142966825,1500,50,0.8
NN_Mixup_Comb,0.3847611908087667,1500,50,0.8
XGBoost_Mixup_Comb,0.3787282474322554,100,100,0.2
KRR_Mixup_Comb,1.5937402077640457,100,100,0.2
NN_Mixup_Comb,0.3951210917439959,100,100,0.2
XGBoost_Mixup_Comb,0.3741079170956027,100,100,0.4
KRR_Mixup_Comb,1.728968562512604,100,100,0.4
NN_Mixup_Comb,0.4154119217757389,100,100,0.4
XGBoost_Mixup_Comb,0.3738198672627965,100,100,0.5
KRR_Mixup_Comb,0.5261386011128824,100,100,0.5
NN_Mixup_Comb,0.3770450982754366,100,100,0.5
XGBoost_Mixup_Comb,0.3657509229142588,100,100,0.6
KRR_Mixup_Comb,0.5202837031580873,100,100,0.6
NN_Mixup_Comb,0.3781499419577903,100,100,0.6
XGBoost_Mixup_Comb,0.3766598064833861,100,100,0.8
KRR_Mixup_Comb,0.6423787310149175,100,100,0.8
NN_Mixup_Comb,0.3880113925781996,100,100,0.8
XGBoost_Mixup_Comb,0.3639330413893479,200,100,0.2
KRR_Mixup_Comb,1.6199822035070126,200,100,0.2
NN_Mixup_Comb,0.3893534194367913,200,100,0.2
XGBoost_Mixup_Comb,0.3626613889533869,200,100,0.4
KRR_Mixup_Comb,1.7866571322156677,200,100,0.4
NN_Mixup_Comb,0.4039208132060873,200,100,0.4
XGBoost_Mixup_Comb,0.3607451609643507,200,100,0.5
KRR_Mixup_Comb,0.5264601598285584,200,100,0.5
NN_Mixup_Comb,0.3673283419766515,200,100,0.5
XGBoost_Mixup_Comb,0.3515941270340733,200,100,0.6
KRR_Mixup_Comb,0.5216687177290033,200,100,0.6
NN_Mixup_Comb,0.3693744741263993,200,100,0.6
XGBoost_Mixup_Comb,0.3667184920215421,200,100,0.8
KRR_Mixup_Comb,0.6561841129739514,200,100,0.8
NN_Mixup_Comb,0.3845741624546512,200,100,0.8
XGBoost_Mixup_Comb,0.3729290514313623,500,100,0.2
KRR_Mixup_Comb,1.691084421008243,500,100,0.2
NN_Mixup_Comb,0.3910011268687337,500,100,0.2
XGBoost_Mixup_Comb,0.3662108056654095,500,100,0.4
KRR_Mixup_Comb,1.7764084254586523,500,100,0.4
NN_Mixup_Comb,0.4065598499287429,500,100,0.4
