Method,MSE,source_size,target_size
XGBoost_Target_Only,0.3062982862478369,50,50
KRR_Target_Only,0.3363096160026315,50,50
NN_Target_Only,0.3566985160307722,50,50
XGBoost_Oracle,0.308021457244146,50,50
KRR_Oracle,0.307102542101136,50,50
NN_Oracle,0.3285328439405705,50,50
XGBoost_TLCQM,0.3733813121572006,50,50
KRR_TLCQM,0.4032418310127797,50,50
NN_TLCQM,0.4632122981318298,50,50
XGBoost_Target_Only,0.3078927764065722,100,50
KRR_Target_Only,0.3431738809750976,100,50
NN_Target_Only,0.3562839618901314,100,50
XGBoost_Oracle,0.2908777749917574,100,50
KRR_Oracle,0.2825838220923677,100,50
NN_Oracle,0.2845408410122591,100,50
XGBoost_TLCQM,0.3372485680840213,100,50
KRR_TLCQM,0.3392462517188355,100,50
NN_TLCQM,0.3354291291982871,100,50
XGBoost_Target_Only,0.3020886101864906,250,50
KRR_Target_Only,0.3325685038778874,250,50
NN_Target_Only,0.3561717875721902,250,50
XGBoost_Oracle,0.2725099349667235,250,50
KRR_Oracle,0.2759891046539032,250,50
NN_Oracle,0.2564907759676708,250,50
XGBoost_TLCQM,0.3055639932280922,250,50
KRR_TLCQM,0.3339286914792089,250,50
NN_TLCQM,0.3262809885012657,250,50
XGBoost_Target_Only,0.3056485289098113,500,50
KRR_Target_Only,0.3355252589801159,500,50
NN_Target_Only,0.3563036960468028,500,50
XGBoost_Oracle,0.2873676420026587,500,50
KRR_Oracle,0.2782890144545663,500,50
NN_Oracle,0.2662052284657815,500,50
XGBoost_TLCQM,0.3086317174197029,500,50
KRR_TLCQM,0.3370676800948744,500,50
NN_TLCQM,0.3108925229720792,500,50
XGBoost_Target_Only,0.3013373628683523,750,50
KRR_Target_Only,0.3251067252067989,750,50
NN_Target_Only,0.347034081357546,750,50
XGBoost_Oracle,0.2714033639854452,750,50
KRR_Oracle,0.27883908190231,750,50
NN_Oracle,0.2589665971236449,750,50
XGBoost_TLCQM,0.333000316052423,750,50
KRR_TLCQM,0.36045776030802,750,50
NN_TLCQM,0.3395988127444743,750,50
XGBoost_Target_Only,0.3009255000942119,1000,50
KRR_Target_Only,0.3399162602596307,1000,50
NN_Target_Only,0.3589732432483427,1000,50
XGBoost_Oracle,0.2731384476938795,1000,50
KRR_Oracle,0.2672661729516355,1000,50
NN_Oracle,0.2543641384915917,1000,50
XGBoost_TLCQM,0.3356472043285747,1000,50
KRR_TLCQM,0.3522455612328218,1000,50
NN_TLCQM,0.3486460913329468,1000,50
XGBoost_Target_Only,0.2978963617477297,1500,50
KRR_Target_Only,0.3303301284605339,1500,50
NN_Target_Only,0.3504562409703238,1500,50
XGBoost_Oracle,0.2699225484118931,1500,50
KRR_Oracle,0.2639224562801858,1500,50
NN_Oracle,0.2498350585831641,1500,50
XGBoost_TLCQM,0.3011573700071208,1500,50
KRR_TLCQM,0.3157581949619117,1500,50
NN_TLCQM,0.3132011580826795,1500,50
XGBoost_Target_Only,0.3189465786095015,100,100
KRR_Target_Only,0.3317296412354315,100,100
NN_Target_Only,0.4029400046049848,100,100
XGBoost_Oracle,0.3014567282658315,100,100
KRR_Oracle,0.3019287586159233,100,100
NN_Oracle,0.2996394142579567,100,100
XGBoost_TLCQM,0.3053957074541827,100,100
KRR_TLCQM,0.3349109998602736,100,100
NN_TLCQM,0.3179369400643626,100,100
XGBoost_Target_Only,0.3133230305317334,200,100
KRR_Target_Only,0.3272201965848754,200,100
NN_Target_Only,0.3970043660719134,200,100
XGBoost_Oracle,0.2924430374333284,200,100
KRR_Oracle,0.2872413076020478,200,100
NN_Oracle,0.2708706983245431,200,100
XGBoost_TLCQM,0.3052061381621016,200,100
KRR_TLCQM,0.3157201296433686,200,100
NN_TLCQM,0.3096844927901495,200,100
XGBoost_Target_Only,0.3153486468763004,500,100
KRR_Target_Only,0.3261850979662665,500,100
NN_Target_Only,0.4100506612173777,500,100
XGBoost_Oracle,0.2854660793527054,500,100
KRR_Oracle,0.2791600197135176,500,100
NN_Oracle,0.271164881851038,500,100
XGBoost_TLCQM,0.3131664191279021,500,100
KRR_TLCQM,0.3197541975005244,500,100
