Method,Metric,source_target_ratio,Value,source_size,target_size
Mean_Matching,W1_to_target,5.0,0.3272623993299359,500.0,100.0
Mean_Matching,W1_to_target,10.0,0.3159027491577263,1000.0,100.0
Mean_Matching,W1_to_target,15.0,0.30905814637417234,1500.0,100.0
Mean_Matching,W1_to_target,20.0,0.3064505036596706,2000.0,100.0
Mean_Matching,W1_to_target,30.0,0.297759770407476,3000.0,100.0
Mean_Matching,XGBoost,1.0,0.3069585770062977,100.0,100.0
Mean_Matching,XGBoost,2.0,0.30862471623748694,200.0,100.0
Mean_Matching,XGBoost,5.0,0.3071600484394168,500.0,100.0
Mean_Matching,XGBoost,10.0,0.30467242476961076,1000.0,100.0
Mean_Matching,XGBoost,15.0,0.3032715229410595,1500.0,100.0
Mean_Matching,XGBoost,20.0,0.30278567246180654,2000.0,100.0
Mean_Matching,XGBoost,30.0,0.3024287431382213,3000.0,100.0
OT_Calibration,KRR,1.0,0.3705351774678322,100.0,100.0
OT_Calibration,KRR,2.0,0.3944374145193079,200.0,100.0
OT_Calibration,KRR,5.0,0.4502471582975463,500.0,100.0
OT_Calibration,KRR,10.0,0.5143663454607292,1000.0,100.0
OT_Calibration,KRR,15.0,0.5570941765894407,1500.0,100.0
OT_Calibration,KRR,20.0,0.5862852697622777,2000.0,100.0
OT_Calibration,KRR,30.0,0.6253312268016709,3000.0,100.0
OT_Calibration,NN,1.0,0.3862172458610646,100.0,100.0
OT_Calibration,NN,2.0,0.4111357079268378,200.0,100.0
OT_Calibration,NN,5.0,0.45636206157930975,500.0,100.0
OT_Calibration,NN,10.0,0.5347662513378811,1000.0,100.0
OT_Calibration,NN,15.0,0.5968729533246114,1500.0,100.0
OT_Calibration,NN,20.0,0.6378642885047898,2000.0,100.0
OT_Calibration,NN,30.0,0.6871251131204817,3000.0,100.0
OT_Calibration,W1_to_target,1.0,0.5657732996848269,100.0,100.0
OT_Calibration,W1_to_target,2.0,0.5392396670455082,200.0,100.0
OT_Calibration,W1_to_target,5.0,0.46263842869317495,500.0,100.0
OT_Calibration,W1_to_target,10.0,0.3868064378502835,1000.0,100.0
OT_Calibration,W1_to_target,15.0,0.34090427806608453,1500.0,100.0
OT_Calibration,W1_to_target,20.0,0.3226606425160226,2000.0,100.0
OT_Calibration,W1_to_target,30.0,0.2937084700097486,3000.0,100.0
OT_Calibration,XGBoost,1.0,0.3567985228068899,100.0,100.0
OT_Calibration,XGBoost,2.0,0.3792587242490998,200.0,100.0
OT_Calibration,XGBoost,5.0,0.4208224981415716,500.0,100.0
OT_Calibration,XGBoost,10.0,0.4700426506185372,1000.0,100.0
OT_Calibration,XGBoost,15.0,0.5069937809889112,1500.0,100.0
OT_Calibration,XGBoost,20.0,0.5371843123832951,2000.0,100.0
OT_Calibration,XGBoost,30.0,0.5869851305582116,3000.0,100.0
TLCQM_Conditional,KRR,1.0,0.325619060940056,100.0,100.0
TLCQM_Conditional,KRR,2.0,0.3220594334633918,200.0,100.0
TLCQM_Conditional,KRR,5.0,0.31492608139971334,500.0,100.0
TLCQM_Conditional,KRR,10.0,0.30899721271076147,1000.0,100.0
TLCQM_Conditional,KRR,15.0,0.30488932947373953,1500.0,100.0
TLCQM_Conditional,KRR,20.0,0.3024072973200406,2000.0,100.0
TLCQM_Conditional,KRR,30.0,0.29962389228728525,3000.0,100.0
TLCQM_Conditional,NN,1.0,0.3230077335203642,100.0,100.0
TLCQM_Conditional,NN,2.0,0.3165791583663806,200.0,100.0
TLCQM_Conditional,NN,5.0,0.30882034978554607,500.0,100.0
TLCQM_Conditional,NN,10.0,0.3043877772043281,1000.0,100.0
TLCQM_Conditional,NN,15.0,0.3022173208160491,1500.0,100.0
TLCQM_Conditional,NN,20.0,0.30168929714251613,2000.0,100.0
TLCQM_Conditional,NN,30.0,0.30069343839739493,3000.0,100.0
TLCQM_Conditional,W1_to_target,1.0,0.07355245645888274,100.0,100.0
TLCQM_Conditional,W1_to_target,2.0,0.0529956936150937,200.0,100.0
TLCQM_Conditional,W1_to_target,5.0,0.04857084833621841,500.0,100.0
TLCQM_Conditional,W1_to_target,10.0,0.047890537876776905,1000.0,100.0
TLCQM_Conditional,W1_to_target,15.0,0.04783328575741467,1500.0,100.0
TLCQM_Conditional,W1_to_target,20.0,0.0479268909754719,2000.0,100.0
TLCQM_Conditional,W1_to_target,30.0,0.048135854789640706,3000.0,100.0
TLCQM_Conditional,XGBoost,1.0,0.31505071861773626,100.0,100.0
TLCQM_Conditional,XGBoost,2.0,0.31353535271443406,200.0,100.0
TLCQM_Conditional,XGBoost,5.0,0.30759795857286504,500.0,100.0
TLCQM_Conditional,XGBoost,10.0,0.30432443752696636,1000.0,100.0
TLCQM_Conditional,XGBoost,15.0,0.3026202336522656,1500.0,100.0
TLCQM_Conditional,XGBoost,20.0,0.30221894243561276,2000.0,100.0
TLCQM_Conditional,XGBoost,30.0,0.3019116298984607,3000.0,100.0
